extractant_group,n_pairs,sd_dy,sse,share_of_total_error,r2_local,global_r2_if_solved,r2_gain_if_solved
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,194,0.3812519265137902,17.76517587591157,0.39047558566969803,0.3667311753508088,0.5813602938216187,0.26819038025605646
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,12,0.44927921378243835,2.2058565636163108,0.04848435723900367,0.006536463805278614,0.34647042883874524,0.03330051527318301
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,17,0.315684566831225,1.70034260809863,0.037373245295967895,-0.06637450603000516,0.33883898286252734,0.025669069296965108
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,16,0.34025074821404083,1.6052907515153083,0.035284021433079446,0.07559078356756654,0.3374040410561987,0.02423412749063647
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,12,0.3885348088885628,1.351245531161411,0.02970015010542306,0.18626739333227726,0.3335688702295857,0.02039895666402347
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,21,0.2336556107784426,1.3384014571717995,0.029417839513706433,-0.22575585587464864,0.3333749708214756,0.020205057255913372
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,16,0.21037416242338058,1.2973449691730101,0.02851542479466017,-0.9542468167210929,0.33275516524199344,0.019585251676431215
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,7,0.41590589784254284,1.1039345129652305,0.024264295411540508,-0.06365773521308382,0.32983536168034133,0.016665448114779102
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,41,0.2080682906282642,0.9099676317396403,0.020000935899868875,0.47452246432618317,0.32690715809843884,0.013737244532876614
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,5,0.4586492782092193,0.899446311307007,0.019769679041696044,-0.06894122127703284,0.3267483239305514,0.01357841036498919
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,4,0.502409298191518,0.784021390870813,0.017232658652873774,-0.03535985213023496,0.32500582199761063,0.011835908432048403
