pair,n_pairs,sd_dy,sse,share_of_total_error,r2_local,global_r2_if_solved,r2_gain_if_solved
Ce-Pr,92,0.2981874076802047,7.760525108935232,0.1705750400774116,0.04088404146720093,0.4303259830854884,0.1171560695199263
Eu-Gd,108,0.3075247783475136,6.942430275005753,0.15259345286187967,0.31393143518762556,0.4179756879840163,0.10480577441845418
Pr-Nd,97,0.2929724205658156,5.925479470104092,0.13024104476218382,0.2808842740520383,0.4026233815968844,0.08945346803132226
La-Ce,97,0.26978034523714617,5.764568210256515,0.1267042422633677,0.1749601283542651,0.4001941992309209,0.0870242856653588
Sm-Eu,88,0.36425684738324027,5.595038211452451,0.12297800132806916,0.5153052057505267,0.3976349048472543,0.08446499128169216
Gd-Tb,76,0.26053909636878947,4.3249584597122235,0.09506186143888035,0.1504775270121398,0.37846126007424685,0.06529134650868473
Er-Tm,59,0.21434952614992064,2.5965433865180056,0.05707158806922729,0.025633072119854106,0.3523683973321001,0.039198483766538006
Tb-Dy,60,0.17500023509393198,2.069330355505785,0.045483534086810405,-0.1452506651901475,0.34440937321374976,0.03123945964818764
Dy-Ho,65,0.15203541822079514,1.5234645369721773,0.03348549496365185,-0.029823573608026566,0.33616875896574705,0.02299884540018493
Tm-Yb,44,0.1825934391645936,1.413293471342128,0.03106395342214201,0.014189227039441032,0.33450557137948733,0.021335657813925213
Ho-Er,72,0.1241125856739996,0.9739026479024369,0.021406216830119642,0.10951716803654776,0.3278723473212275,0.014702433755665378
Yb-Lu,47,0.12390589344071358,0.6067184564335578,0.013335569896256505,0.14089658067617172,0.3223291841900604,0.009159270624498284
