cell,adj_r2,adj_pearson2,adj_disp,logD_r2,n_pairs
flat_q60,0.2679754928171062,0.2739568151610157,0.5983921343525788,0.4977040873032702,905
anch_q60_q60,0.2955374634054269,0.3023829681562263,0.4937047963968091,0.5051717523308386,905
anch_q60_mae,0.2763934656553126,0.2817583237644581,0.504855855822165,0.5022765930144073,905
anch_q60_mae_comp,0.2595063748094613,0.2652055534151748,0.4522125413164939,0.4809142975124181,905
anch_q60_mae_w07,0.2979116638945996,0.3021986977777837,0.5121616495305003,0.5062332120796226,905
anch_mae_mae,0.2763934656553125,0.281758323764458,0.504855855822165,0.5047939502058412,905
anch_q60_mae_w07_has3d_s42,0.2171672479262769,0.2184475228334255,0.4884494934603008,0.5284425707267486,1349
anch_q60_mae_w07_has3d_s51,0.2250179324983205,0.2264177147917098,0.4732630870973364,0.5290850925643515,1349
anch_q60_mae_w07_has3d_s67,0.2081002475243702,0.2091379046161115,0.4821881847610974,0.5295712884853643,1349
anch_q60_mae_w07_has3d_s83,0.2183571089845679,0.2194331153852788,0.4737128274063152,0.5400738724383952,1349
anch_q60_mae_w07_has3d_ens4,0.2265777686241381,0.2275193997715975,0.4695616792014359,0.5389860279643811,1349
flat_q60_has3d_s42,0.1585387777709993,0.1780323276954334,0.5602801143199071,0.5206906211935901,1349
flat_q60_has3d_s51,0.169989156058869,0.1872811797634455,0.5612971924109985,0.5175251384702779,1349
flat_q60_has3d_s67,0.1621158321569933,0.1774213331711246,0.5441714202414377,0.516866452173994,1349
flat_q60_has3d_s83,0.1516131698462633,0.1727547128370969,0.559929635719164,0.5310317567732503,1349
flat_q60_has3d_ens4,0.1763228969470779,0.18839149514001,0.5421444340863067,0.5297398797329547,1349
anch_q60_mae_w07_s42,0.29791166389459967,0.3021986977777837,0.5121616495305003,0.5062332120796226,905
anch_q60_mae_w07_s51,0.3088972044364535,0.31186775471489636,0.5300626553711418,0.5059598903146925,905
anch_q60_mae_w07_s67,0.30376988926227644,0.30921185440457316,0.5115001396728064,0.5191471464589607,905
anch_q60_mae_w07_s83,0.30584992657408105,0.31004179559099115,0.5131667020310177,0.5080879006940768,905
anch_q60_mae_w07_ens4,0.31298213736105407,0.31884871632417855,0.5081447385960467,0.5156243469759706,905
anch_q60_q60_s42,0.29553746340542697,0.30238296815622634,0.49370479639680914,0.5051717523308386,905
anch_q60_q60_s51,0.30449459547206037,0.3079383067002196,0.5266822043839787,0.5052322399153922,905
anch_q60_q60_s67,0.3073519679667559,0.31523014501964014,0.5028167829359592,0.5199446964678541,905
anch_q60_q60_s83,0.31856169915311894,0.3259147083252385,0.50841540036143,0.499372861283098,905
anch_q60_q60_ens4,0.3188322372245369,0.32832101695661015,0.4957782124011944,0.513664530781566,905
