cell,adj_r2,adj_pearson2,adj_disp,logD_r2,n_pairs
ft_anch_p20_s42,0.099442661650555,0.1284905323461212,0.5038193635006232,0.2803422150804903,905
ft_anch_lr3e-4_p20_s42,0.078920062712484,0.1258818185750241,0.5094375634686122,0.2104253690446071,905
ft_anch_s42,0.0776557815639197,0.1039314208374398,0.4130888664103107,0.2688350803967808,905
ft_anch_s51,0.1296606273934775,0.1614847379817555,0.5548374959790411,0.3729873736728645,905
ft_anch_s67,0.1501173858566444,0.1645329747920454,0.3821281376687369,0.3761640968179187,905
ft_anch_s83,0.0413147844383335,0.06758391004523,0.2731098060243651,0.3041527492021956,905
ft_anch_ens4,0.1461795284397073,0.1642827465145612,0.3590618473570027,0.366910803162111,905
ft_flat_s42,0.1576927617673136,0.1648888630579863,0.4503426441411687,0.2843971693449221,905
ft_flat_s51,0.1194308948641501,0.148284423863524,0.5493785660644308,0.3725603430608072,905
ft_flat_s67,0.2180158157407014,0.2356999004924884,0.603518847218382,0.3813656971553254,905
ft_flat_s83,-0.040056032454097,0.0607838100216841,0.5557039326790817,0.3384920203545428,905
ft_flat_ens4,0.17095218296325,0.1789549445282799,0.4872157764236117,0.3842611764574178,905
ft_anch_has3d_s42,0.0410052950905234,0.0605024217568114,0.3403326564542474,0.2968240126093425,1349
ft_anch_has3d_s51,0.0668403128115154,0.0819581263053839,0.3809395593452936,0.3946892429356071,1349
ft_anch_has3d_s67,0.0402525468776518,0.0645716597569648,0.3749669949273477,0.3488898906076425,1349
ft_anch_has3d_s83,0.0540355772683383,0.0667039632481221,0.3516647914744481,0.3764868181792679,1349
ft_anch_has3d_ens4,0.0838652034496565,0.0913337339448902,0.3134167534185806,0.3925661729318798,1349
ft_flat_has3d_s42,0.0608464421628529,0.0860596354773002,0.451115973509841,0.3116356934114235,1349
ft_flat_has3d_s51,0.0521924794943674,0.0793562893327794,0.4426918309483947,0.3934240653220473,1349
ft_flat_has3d_s67,0.0416098012732096,0.0894981202243673,0.5167897380368544,0.3667242387125035,1349
ft_flat_has3d_s83,0.0707443391373707,0.0949388196999319,0.4594329487283764,0.3589340323270999,1349
ft_flat_has3d_ens4,0.089244657947836,0.1025216615914483,0.431940045303032,0.3990260932031174,1349
ft_anch_d128_l4_p20_s42,0.0989715393542673,0.1184052703127935,0.3606269960606471,0.2732400354403798,905
ft_anch_bt32_p20_s42,0.1018795774375129,0.1236599359998213,0.4028321807108532,0.3043970444007432,905
ft_anch_wd1e-2_p20_s42,0.1183205320839582,0.1517454894603493,0.5517457594510262,0.324146223744419,905
ft_anch_bs32_p20_s42,0.1749768844016969,0.1863471979501007,0.4510407686299203,0.3403822869901468,905
ft_anch_bs32_s42,0.1749768844016969,0.1863471979501007,0.4510407686299203,0.3403822869901468,905
ft_anch_bs32_s51,0.1487880301836143,0.1720766604230518,0.3833734385640749,0.3453893823288987,905
ft_anch_bs32_s67,0.1007316172233152,0.1202704638004946,0.4419121369955753,0.3882324140963887,905
ft_anch_bs32_s83,0.0731803393508958,0.0986375945115002,0.4257176763247025,0.3894407373278772,905
ft_anch_bs32_ens4,0.1656986770408648,0.1822039831534544,0.3752430225257352,0.3972862275349017,905
ft_anch_bs32wd_s42,0.10198288780194131,0.11746798383409122,0.38459658732086116,0.2761284868900624,905
ft_anch_bs32wd_s51,0.15710761830992104,0.17642982510126617,0.5132321160032333,0.317687386796068,905
ft_anch_bs32wd_s67,0.1320841344746806,0.143067962209117,0.41385397648944033,0.3678290906004309,905
ft_anch_bs32wd_s83,0.04425135489032983,0.09095145580077882,0.5021231196797924,0.37149563196539903,905
ft_anch_bs32wd_ens4,0.16472331091110148,0.1754637509628783,0.39113423061002767,0.37764940177828976,905
