arm,level_r2,pair_r2,level_minus_pair
S1,0.38381867059230634,0.029171947611379645,0.3546467229809267
CatBoost,0.4986731148877612,0.14406473284277188,0.35460838204498935
P1,0.3932919728034846,0.16096842884457763,0.23232354395890698
T1,0.3654839162121659,0.16722217999267275,0.19826173621949317
P0,0.36314014299884234,0.2100509529574074,0.15308919004143495
S2,0.35210991433661454,0.22096097706927587,0.13114893726733867
S0,0.368557571568761,0.2410003673445884,0.1275572042241726
F30,0.3656390595483022,0.23961703818716196,0.12602202136114027
G0,0.3733437254210632,0.24867918890870333,0.12466453651235987
F40,0.35671117296588484,0.23462692579146271,0.12208424717442212
S0X,0.35874407816958953,0.2373139566446829,0.12143012152490662
repaired,0.3217094901308527,0.2229432436497062,0.09876624648114651
T0,0.29877974960657827,0.20121699064804832,0.09756275895852995
D0,0.3443799428810662,0.2498144968388536,0.09456544604221262
T0w,0.2968068445809514,0.20308583609883102,0.0937210084821204
