column,n_pairs,sd_within_block,abs_corr_with_dy,note,signed_corr,family
cond__extractant_concentration_M,1349,0.01012435168915883,0.30162273116951666,,0.30162273116951666,cond (reference bar)
mphys__dG_hyd,1349,8.561940703122563,0.21497755527965254,,0.21497755527965254,mphys
Ionic Radius_metal,1349,0.002827818181451985,0.17074314017672976,,-0.17074314017672976,incumbent
mphys__ie3,1349,1.6096096553859591,0.16737351776076098,,0.16737351776076098,mphys
mphys__tetrad_q3,1349,0.8191591552353084,0.1589787311474369,,-0.1589787311474369,mphys
mphys__z_over_r,1349,0.004352913294051023,0.15706418682950146,,0.15706418682950146,mphys
mphys__dG_born_resid,1349,6.024999205718809,0.1564366642928864,,0.1564366642928864,mphys
mphys__cn_break,1349,0.2971120767938091,0.14669992081503538,,-0.14669992081503538,mphys
mphys__tetrad_q1,1349,0.8708915893660532,0.13131979473595554,,-0.13131979473595554,mphys
mphys__dH_hyd,1349,15.253750407207475,0.130856743945494,,0.130856743945494,mphys
mphys__half_shell,1349,0.49223208599155605,0.09050238552437267,,-0.09050238552437267,mphys
mphys__d_LnOH2,1349,0.007250367970931272,0.07539880943817458,,-0.07539880943817458,mphys
cond__acid_concentration_M,1348,0.057327088187188624,0.06561583804402402,,0.06561583804402402,cond (reference bar)
mphys__aqua_cn,1349,0.16441517977216888,0.059998651261776316,,0.059998651261776316,mphys
mphys__tetrad_q2,1349,0.9954172961884694,0.0578709154757734,,-0.0578709154757734,mphys
Atomic Number_metal,1349,0.0,,block-constant or too sparse,,incumbent
lanthanide_index,1349,0.0,,block-constant or too sparse,,incumbent
mphys__n_f,1349,0.0,,block-constant or too sparse,,mphys
