tags,n_seeds,ranked,n_rows,n_pairs,adj_r2,ref_adj_r2,err_corr,blend50_adj_r2,arch,preset,no_triangles,topology_only,pair_loss_weight,select_on,level_weight,block_key,block_centre,film,pair_head,pair_head_weight,pair_reconcile,geometry,extra_block_mean,node_angular,angular_readout,attn_pool,aux_target,conformers,pretrain_epochs,filtration_max,heavy_only,dim,layers,dropout,head_hidden,lr,weight_decay,epochs,batch_rows,folds,repeats,restrict_groups,pair_adj_weight,pair_adj_only,pair_loss_kind,pair_metric_align,radius_slope,radius_slope_u,radial_bins,radial_max,rbf_bins,rbf_max,edge_asset,level_loss,level_huber_delta,pair_subsample,level_quantile
"c6_y7_c60_w20_s11,c6_y7_c60_w20_s23",12,True,3567,604,0.2042663231181322,0.22348566199544928,0.8624822827757643,0.26800918119403094,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,6.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,20.0,False,sq,False,off,block,,,96.0,6.0,c60,huber,1.0,1.0,0.5
"c6_e0_mphys_s11,c6_e0_mphys_s211",12,True,3567,604,0.19981479419724346,0.22348566199544928,0.8404495925600789,0.2756575964210283,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,1.0,1.0,0.5
"c6_y5_w40_s11,c6_y5_w40_s23",4,False,3567,604,0.19849361670760335,0.22348566199544928,0.8569051675515063,0.26842864624742035,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,40.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
"c6_x5_d02_mphys_s11,c6_x5_d02_mphys_s23",4,False,3567,604,0.19780651714524444,0.22348566199544928,0.8473143326582888,0.2720651011025361,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,0.2,1.0,0.5
"c6_y6_c50_w20_s11,c6_y6_c50_w20_s23",4,False,3567,604,0.1965642115662043,0.22348566199544928,0.8323667866382645,0.27636960381730136,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,5.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,20.0,False,sq,False,off,block,,,64.0,5.0,c50,huber,1.0,1.0,0.5
"c6_y4_w20_s11,c6_y4_w20_s23",4,False,3567,604,0.19291840180752717,0.22348566199544928,0.8660897112667358,0.26133648478370186,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,20.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
"c6d_d050_s11,c6d_d050_s211",12,True,3567,604,0.18900218612876407,0.22348566199544928,0.8541324797676823,0.2644267398922904,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,0.5,1.0,0.5
"c6_x4_mae_mphys_s11,c6_x4_mae_mphys_s23",4,False,3567,604,0.18867992407683065,0.22348566199544928,0.8100514053475656,0.28166162211526513,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,mae,1.0,1.0,0.5
"c6_x2_d02_s11,c6_x2_d02_s23",4,False,3567,604,0.18849413579138108,0.22348566199544928,0.8188558262300499,0.2785127899987463,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,0.2,1.0,0.5
"c6_b7_f40_fb64_s11,c6_b7_f40_fb64_s211",12,True,3567,604,0.18738884873908457,0.22348566199544928,0.8441348933351137,0.2679627592613669,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
"c6sm_sm_full_s11,c6sm_sm_full_s23",8,False,3512,584,0.18664497304133287,0.22623833242908375,0.8402052435893032,0.27115026763057826,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,solvent_matched_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
"c6_a7_w10_only_s11,c6_a7_w10_only_s211",12,True,3567,604,0.18551768110294464,0.22348566199544928,0.8653291108157514,0.2584628821500843,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,10.0,False,sq,False,off,block,,,,,,huber,1.0,1.0,0.5
"c6_b10_f40_rb128_s11,c6_b10_f40_rb128_s23",4,False,3567,604,0.18472667370771179,0.22348566199544928,0.8311556778470349,0.271720802540117,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,128.0,,,,,huber,1.0,1.0,0.5
