cell,adj_r2,adj_pearson2,adj_disp,n_pairs,epochs,dim,layers,dropout,lr
celltf_s42,-0.1432934683581932,0.0066364991770416,0.4612053377656317,905,300,64,2,0.2,0.001
celltf_s51,0.1060296475120972,0.1197797769360489,0.3859440918487387,905,300,64,2,0.2,0.001
celltf_s67,0.023134923499319,0.0681322797317636,0.4556848574927239,905,300,64,2,0.2,0.001
celltf_s83,0.0677987210026925,0.0924600807788987,0.387276034860182,905,300,64,2,0.2,0.001
celltf_s91,-0.0135176872735669,0.036288843574029,0.3940047013808145,905,300,64,2,0.2,0.001
celltf_s103,-0.0136848226477421,0.0508212327161716,0.4441081357722539,905,300,64,2,0.2,0.001
celltf_s107,0.0976676742822743,0.1180948142200543,0.4404970244011469,905,300,64,2,0.2,0.001
celltf_s109,0.0705907759561574,0.0879176026078276,0.3709132857002483,905,300,64,2,0.2,0.001
celltf_ens8,0.0913635061819638,0.1024285553546447,0.3297890305803743,905,300,64,2,0.2,0.001
celltf_has3d_s42,-0.1302251985781091,0.008693841988930159,0.4538080637431539,1349,300,64,2,0.2,0.001
celltf_has3d_s51,-0.026875178007628175,0.018553339148187804,0.3166761448502551,1349,300,64,2,0.2,0.001
celltf_has3d_s67,-0.037446019456224056,0.025931108401437235,0.3896339515599159,1349,300,64,2,0.2,0.001
celltf_has3d_s83,0.0020786897144390304,0.03540717233770128,0.3468093122061311,1349,300,64,2,0.2,0.001
celltf_has3d_ens4,-0.0055094400515820485,0.02790226728445002,0.31945960013557034,1349,300,64,2,0.2,0.001
