arm,macro_mae,pooled_mae,pooled_r2,sign_accuracy,dispersion_ratio,adjacent_mae,nonadjacent_mae,split_seed
A2,0.32003451357362406,0.34535376563564213,0.522448181593256,0.8471290082028337,0.7859017272011315,0.14666443324779405,0.3836284982887976,104729
A2,0.32768645552051573,0.4277838767924962,0.2892772003805786,0.8513049962714392,0.7603849489268231,0.1327241707274482,0.48462301974312705,130363
A2,0.3282861841530328,0.4254327831262666,0.3151867204149591,0.8536912751677852,0.7671395430333747,0.14245398232757772,0.47994470793327126,155921
A2,0.31561855286116763,0.43787203398911995,0.24074679292726653,0.8548844146159582,0.7361988019859476,0.12273755219184983,0.49857830289457056,196613
A2,0.32742272334045003,0.42752860434026,0.28499340837054743,0.8431021625652498,0.7334094780152621,0.13288121139992135,0.484288320909877,262147
A2_TP,0.3163830477479971,0.33952141903270494,0.5319771138728184,0.8463832960477256,0.8082528659708961,0.12369361030177502,0.38109764045846045,104729
A2_TP,0.3242256941224526,0.42584539510711805,0.29637968193524367,0.8471290082028337,0.7636788458991095,0.1239477042485899,0.4840017805926723,130363
A2_TP,0.3227711444090847,0.4208116112320542,0.32276470355797604,0.8514541387024609,0.7690280356507497,0.12559794533300228,0.47768041240044135,155921
A2_TP,0.3141685807512188,0.4367680306975647,0.24460335488401141,0.8536912751677852,0.7344897785667349,0.12365209716984331,0.49708545439207247,196613
A2_TP,0.3251618462350068,0.42547626283818973,0.2907294191812235,0.8489187173750932,0.7384382114887315,0.125526593090786,0.48325738918760947,262147
PAIRMEAN,0.45431014348167037,0.39600562024840447,0.4133919542175334,0.8325130499627144,0.6607263738915462,0.12884349761348005,0.4474706822928056,104729
PAIRMEAN,0.44368515577125983,0.37764831416092554,0.4431312220994127,0.8460850111856824,0.7433016419369162,0.1267786096515765,0.42597486876491436,130363
PAIRMEAN,0.44567445769966296,0.38134752501138847,0.4329679855908948,0.8468307233407905,0.7407317684621336,0.12845877324948235,0.4300630209484472,155921
PAIRMEAN,0.4512894592516701,0.38071298438896506,0.45125412275467525,0.846234153616704,0.7208046439982762,0.1261695872523772,0.4297472247125021,196613
PAIRMEAN,0.45505387144089904,0.396161046017411,0.4180812557560146,0.8353467561521253,0.6693247313388533,0.12803707380727422,0.447811394986386,262147
