arm,w,adj_r2,r2_overall,n_rows
S0,0.0,0.14217318808560242,0.4986513470594569,4746
S0,0.1,0.17521473696151257,0.5010629922754486,4746
S0,0.2,0.20304768373742088,0.5000302861124881,4746
S0,0.3,0.22567202841332712,0.4955532285705754,4746
S0,0.4,0.24308777098923173,0.48763181964971036,4746
S0,0.5,0.25529491146513417,0.4762660593498931,4746
S0,0.6,0.262293449841035,0.46145594767112363,4746
S0,0.7,0.2640833861169338,0.4432014846134018,4746
S0,0.8,0.2606647202928306,0.4215026701767278,4746
S0,0.9,0.25203745236872566,0.39635950436110146,4746
S0,1.0,0.23820158234461886,0.3677719871665228,4746
T0,0.0,0.14217318808560242,0.4986513470594569,4746
T0,0.1,0.1743610115850287,0.4997326628313217,4746
T0,0.2,0.2006560161876697,0.4961210369718254,4746
T0,0.3,0.22105820189352565,0.4878164694809679,4746
T0,0.4,0.23556756870259654,0.4748189603587494,4746
T0,0.5,0.24418411661488237,0.4571285096051697,4746
T0,0.6,0.24690784563038304,0.4347451172202289,4746
T0,0.7,0.24373875574909876,0.40766878320392697,4746
T0,0.8,0.2346768469710293,0.3758995075562639,4746
T0,0.9,0.21972211929617458,0.3394372902772397,4746
T0,1.0,0.19887457272453501,0.29828213136685433,4746
T1,0.0,0.14217318808560242,0.4986513470594569,4746
T1,0.1,0.16557502379032296,0.5014574849489714,4746
T1,0.2,0.18428312590156581,0.5006882464197673,4746
T1,0.3,0.19829749441933098,0.49634363147184435,4746
T1,0.4,0.20761812934361845,0.48842364010520267,4746
T1,0.5,0.21224503067442835,0.47692827231984236,4746
T1,0.6,0.21217819841176044,0.4618575281157634,4746
T1,0.7,0.20741763255561485,0.4432114074929656,4746
T1,0.8,0.19796333310599146,0.4209899104514492,4746
T1,0.9,0.1838153000628906,0.3951930369912139,4746
T1,1.0,0.16497353342631216,0.36582078711226007,4746
