family,ligand,arm,l_lo,pair,dE_ev,dE_shared,dE_resid,index,dy_mean,n_blocks,dy_resid
C1COCCOCCOCCOCCOCCO1||nitrate||9||1||3||nitrate,C1COCCOCCOCCOCCOCCO1,gfn2,2,Ce-Pr,-0.06325590556156314,-0.13844115819955258,0.07518525263798943,0,0.2552725049999999,1,0.35798556264713927
C1COCCOCCOCCOCCOCCO1||nitrate||9||1||3||nitrate,C1COCCOCCOCCOCCOCCO1,gxtb_hs,2,Ce-Pr,1141.2512168002058,1140.8150017532614,0.4362150469444259,0,0.2552725049999999,1,0.35798556264713927
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,1,La-Ce,-1.6087606197308835,-1.588590151743333,-0.02017046798755051,1,-0.19329328916330352,1,-0.011507352945757887
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,2,Ce-Pr,-0.15822456714187902,-0.13844115819955258,-0.01978340894232644,2,-0.16325403435050903,1,-0.060540976703369706
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,3,Pr-Nd,-0.214474363127446,-0.21166888814729484,-0.002805474980151157,3,-0.24879037757538575,1,-0.16889106245234753
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,6,Sm-Eu,-0.19295372257806565,-0.1948304776195703,0.0018767550415046685,4,-0.11230382420910812,1,-0.10063328125006067
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,7,Eu-Gd,-0.2560787166910372,-0.25143177799310745,-0.004646938697929759,5,-0.04451372520053787,1,-0.0791038537458342
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,8,Gd-Tb,-0.2658037914903052,-0.2684253009271853,0.0026215094368801095,6,-0.10966648217940023,1,0.08911071971658147
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,9,Tb-Dy,-0.19751743276539596,-0.19591723980350542,-0.0016001929618905397,7,-0.03402678352069133,1,-0.0040797878437048365
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,10,Dy-Ho,-0.2396217718767877,-0.24021232973993478,0.0005905578631470731,8,-0.038264500095282594,1,-0.014810236258896155
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,11,Ho-Er,-0.19243217554330397,-0.18911839801370134,-0.0033137775296026295,9,-0.02562884752083061,1,-0.015144748266619264
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,12,Er-Tm,-0.22186832516283767,-0.21816392572258456,-0.003704399440253109,10,0.020192709559937683,1,0.04863958243429401
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,13,Tm-Yb,-0.11232610447282854,-0.09311078919839409,-0.019215315274434444,11,-0.001172818649305185,1,-0.03467811240132688
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gfn2,14,Yb-Lu,-0.28352523013111436,-0.3069643674561204,0.02343913732500602,12,-0.011329058478542153,1,-0.006780457231637297
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,1,La-Ce,12069.03472170026,12068.818581659758,0.2161400405020686,1,-0.19329328916330352,1,-0.011507352945757887
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,2,Ce-Pr,1140.979801679875,1140.8150017532614,0.16479992661356846,2,-0.16325403435050903,1,-0.060540976703369706
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,3,Pr-Nd,1207.5031803932695,1207.555018158705,-0.051837765435493566,3,-0.24879037757538575,1,-0.16889106245234753
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,6,Sm-Eu,1425.0620386544736,1424.9641078609789,0.09793079349469735,4,-0.11230382420910812,1,-0.10063328125006067
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,7,Eu-Gd,1504.7055536364176,1504.724031790149,-0.01847815373139383,5,-0.04451372520053787,1,-0.0791038537458342
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,8,Gd-Tb,1601.47186326035,1601.2960403661134,0.17582289423648945,6,-0.10966648217940023,1,0.08911071971658147
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,9,Tb-Dy,1648.4758259806233,1648.550103920534,-0.07427793991064391,7,-0.03402678352069133,1,-0.0040797878437048365
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,10,Dy-Ho,1716.172040935182,1716.0624649926683,0.10957594251362934,8,-0.038264500095282594,1,-0.014810236258896155
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,11,Ho-Er,1823.5817313040768,1823.6636789906343,-0.08194768655744156,9,-0.02562884752083061,1,-0.015144748266619264
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,12,Er-Tm,1908.2596840159115,1908.2226901016725,0.03699391423901943,10,0.020192709559937683,1,0.04863958243429401
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,13,Tm-Yb,1998.7228376935896,1998.8084494371817,-0.08561174359215329,11,-0.001172818649305185,1,-0.03467811240132688
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,gxtb_hs,14,Yb-Lu,2091.1847563536007,2091.225886869224,-0.04113051562308101,12,-0.011329058478542153,1,-0.006780457231637297
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,gfn2,2,Ce-Pr,-0.06486123933461692,-0.13844115819955258,0.07357991886493566,13,-0.13033376849500616,1,-0.02762071084786684
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,gfn2,3,Pr-Nd,-0.2155792721321283,-0.21166888814729484,-0.003910383984833454,14,-0.015794267183231847,1,0.06410504793980638
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,gfn2,6,Sm-Eu,-0.20551228653636985,-0.1948304776195703,-0.01068180891679954,15,0.0,1,0.011670542959047443
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,gxtb_hs,2,Ce-Pr,1141.2411859924339,1140.8150017532614,0.4261842391724713,13,-0.13033376849500616,1,-0.02762071084786684
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,gxtb_hs,3,Pr-Nd,1206.9633569294424,1207.555018158705,-0.5916612292626269,14,-0.015794267183231847,1,0.06410504793980638
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,gxtb_hs,6,Sm-Eu,1425.4763499718838,1424.9641078609789,0.5122421109049355,15,0.0,1,0.011670542959047443
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate||9||3||0||nitrate,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,gfn2,6,Sm-Eu,-0.17591422209360794,-0.1948304776195703,0.018916255525962378,16,-0.12569732978266568,1,-0.11402678682361823
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate||9||3||0||nitrate,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,gfn2,7,Eu-Gd,-0.2423619931118139,-0.25143177799310745,0.009069784881293563,17,0.04676924286893813,1,0.012179114323641799
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate||9||3||0||nitrate,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,gxtb_hs,6,Sm-Eu,1424.9225458502879,1424.9641078609789,-0.04156201069099552,16,-0.12569732978266568,1,-0.11402678682361823
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate||9||3||0||nitrate,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,gxtb_hs,7,Eu-Gd,1504.7294644099861,1504.724031790149,0.0054326198371654755,17,0.04676924286893813,1,0.012179114323641799
