geometry_key,metal,n_atoms,n_add,metal_index,no_bond_min_0,no_bond_max_0,ono_sum_0,n_oop_0,no_bond_min_1,no_bond_max_1,ono_sum_1,n_oop_1,min_H_to_nitrate_O,n_inner_O,lnn_max,lnn_min,binding_modes,n_inner_nitrate,rmsd_vs_control,n_donors,dLn_donor_max_delta,dij_donor_max_delta,adjacency_changed_pairs,cn_ligand_shipped,cn_ligand_control,cn_ligand_out,donors_displaced,displacement_allowance,neutral_force_max,neutral_converged,neutral_meets_target,neutral_downgraded,control_force_max,control_converged,control_meets_target,control_downgraded,reject_code,no_bond_min_2,no_bond_max_2,ono_sum_2,n_oop_2,cn_ligand_in,reject_detail
57|C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,La,78.0,2.0,0.0,1.2082850492905064,1.231544030669262,359.9582714755733,0.01445810997566184,1.2164603966201393,1.2414440626648273,359.99412979825365,0.005467133293759918,2.093206222940995,3.0,3.5284470095702387,2.722039679384751,inner|inner,2.0,1.641441370624612,10.0,0.4452213637062141,2.459366776451671,0.0,10.0,10.0,10.0,0.0,4.0,0.01121622240952713,True,True,False,0.010320748013209058,True,True,False,accepted,,,,,,
57|CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C|nitrate,La,208.0,3.0,0.0,1.2185230786562669,1.2515309765141982,359.9193010052617,0.02024054563180744,1.2274949727062623,1.2383601052999704,359.9902316267731,0.0070560813714071816,2.0958973629116966,1.0,6.549299218855197,3.251049097791364,inner|outer|outer,1.0,0.9634143913278126,9.0,0.3581923058431551,1.1494710751391337,0.0,9.0,9.0,9.0,0.0,2.0,0.012084804769061918,True,True,False,0.005269103462828338,True,True,False,accepted,1.2277340023687022,1.2354804290105135,359.9860006940139,0.008444151001933936,,
57|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,La,91.0,1.0,0.0,1.2053279437187643,1.231283909305945,359.9497189777204,0.015882594552158513,,,,,3.867821654883781,2.0,2.7411606997299183,2.7411606997299183,inner,1.0,0.9792532003245151,12.0,0.24289799645717425,0.5675283575069372,0.0,10.0,12.0,10.0,2.0,2.0,0.01121213184416612,True,True,False,0.009204418768955582,True,True,False,accepted,,,,,,
57|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,La,208.0,3.0,0.0,1.22922084192952,1.233523697398953,359.9966538102896,0.004130110534172116,1.2223248821316137,1.2420907755076487,359.99286502881847,0.006031747302224344,2.3724419114481474,0.0,4.5246792264109565,3.847029528119848,outer|outer|outer,0.0,1.3574032749466327,9.0,0.30668623395537953,1.0269701493076808,0.0,9.0,9.0,9.0,0.0,0.0,0.015930788572382882,True,True,False,0.007287163389314437,True,True,False,accepted,1.2268749182971237,1.2417522722669823,359.998125201533,0.003091455776796842,,
57|CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,La,296.0,3.0,0.0,1.2220358891601004,1.2400147648434297,359.98179533872064,0.009625012147722961,1.2309023128003818,1.2326085035454226,359.9986323219182,0.00264048990235638,1.7211668887469525,0.0,8.410331712773884,5.709773242869704,outer|outer|outer,0.0,1.333400805938632,9.0,0.1818823025307017,0.34674269522001033,0.0,9.0,9.0,9.0,0.0,0.0,0.009277957952404743,True,True,False,0.004938001136236243,True,True,False,accepted,1.2310813703478776,1.2333824925888595,359.9992189680546,0.001995243647517242,,
57|CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1|nitrate,La,228.0,3.0,0.0,1.2073410167541396,1.2397305034343957,359.9256030802316,0.01934083931724706,1.2290187535273944,1.2346460088504112,359.99730600519865,0.003705659140998463,2.2448770761870698,2.0,7.354940544020519,2.7689777927498715,inner|outer|outer,1.0,1.178469620398013,9.0,0.2701985660978474,1.5339138453215484,0.0,9.0,9.0,9.0,0.0,2.0,0.008213423495627143,True,True,False,0.015114357593291864,True,True,False,accepted,1.2263550633793765,1.235020911522329,359.9990983254534,0.0021438101601146675,,
57|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,La,100.0,3.0,0.0,1.227894303540813,1.2339716070712006,359.9992035544854,0.002014829937007079,1.2133015840098322,1.2345484713124635,359.93411465368,0.018206315700761436,2.179897148806116,2.0,5.294949753819395,2.749466344935452,outer|inner|outer,1.0,1.1182817864954173,9.0,0.29514928187570755,1.6302459469419501,0.0,9.0,9.0,9.0,0.0,2.0,0.014563172705992642,True,True,False,0.015147533264623916,True,True,False,accepted,1.2298207933734349,1.2345672970606536,359.9971997852257,0.003777293977294427,,
57|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,La,352.0,3.0,0.0,1.2309674705348495,1.2330873096904527,359.9986574881817,0.002616241984838674,1.2299350363193802,1.2339613335648958,359.99722210251764,0.003763061189224315,2.158733417631532,0.0,6.975008375771422,6.787871211758246,outer|outer|outer,0.0,0.676567668746587,9.0,0.05471338370175216,0.11200523656362549,0.0,9.0,9.0,9.0,0.0,0.0,0.01283619858480244,True,True,False,0.008548946246977952,True,True,False,accepted,1.2288025057200482,1.235170988978257,359.9997962184796,0.001019187317343656,,
57|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,La,352.0,3.0,0.0,1.2308981506790577,1.2333987050317365,359.99830802598683,0.002937092847202172,1.229882711997226,1.2352321624944222,359.9996779999995,0.0012813418810767516,2.1459151524862183,0.0,9.09753549831171,6.636917935199868,outer|outer|outer,0.0,0.769491541014322,9.0,0.02111724057441311,0.09735315759216956,0.0,9.0,9.0,9.0,0.0,0.0,0.017433755730438823,True,True,False,0.0034309548041091178,True,True,False,accepted,1.2310105226867953,1.232846329550756,359.9984532457246,0.0028083770294718424,,
57|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,La,442.0,3.0,0.0,1.2316330324397222,1.2323576450107938,359.99836492273647,0.0028873047602668983,1.2304136330030713,1.2334550143947527,359.9984463455267,0.0028146864472102795,2.2007720853861943,0.0,9.287849390271605,8.175425720684151,outer|outer|outer,0.0,0.6045518297865021,9.0,0.031006192403260968,0.08260782562642133,0.0,9.0,9.0,9.0,0.0,0.0,0.02837665459077469,True,True,False,0.01652720056315286,True,True,False,accepted,1.2310181115996288,1.2332262840890431,359.9996322289375,0.00136939866434993,,
