feature,fit_r2,block
g13__fitr2__g1__first_shell__cn_observed,0.40267228520084614,first_shell
g13__fitr2__g1__first_shell__d_min,0.5478620453119222,first_shell
g13__fitr2__g1__first_shell__d_max,0.2702794966549107,first_shell
g13__fitr2__g1__first_shell__d_mean,0.5248485325539554,first_shell
g13__fitr2__g1__first_shell__d_std,0.15634298552563297,first_shell
g13__fitr2__g1__first_shell__d_range,0.15131749081505225,first_shell
g13__fitr2__g1__first_shell__d_median,0.437059615770238,first_shell
g13__fitr2__g1__first_shell__d_inv3_sum,0.37798760638202844,first_shell
g13__fitr2__g1__first_shell__d_inv6_sum,0.5007729973975386,first_shell
g13__fitr2__g1__first_shell__shell_gap,0.17703601331038263,first_shell
g13__fitr2__g1__first_shell__n_donor_O,0.5901699679215322,first_shell
g13__fitr2__g1__first_shell__n_donor_N,0.22178012101556116,first_shell
g13__fitr2__g1__first_shell__n_donor_S,0.0,first_shell
g13__fitr2__g1__first_shell__n_donor_P,0.00039505022551906824,first_shell
g13__fitr2__g1__first_shell__n_donor_F,0.0,first_shell
g13__fitr2__g1__first_shell__n_donor_Cl,0.0,first_shell
g13__fitr2__g1__first_shell__n_donor_Br,0.0,first_shell
g13__fitr2__g1__first_shell__n_donor_I,0.0,first_shell
g13__fitr2__g1__first_shell__donor_en_mean,0.32779053089073973,first_shell
g13__fitr2__g1__first_shell__donor_en_std,0.327845800646862,first_shell
g13__fitr2__g1__first_shell__donor_en_max,0.013320680999342981,first_shell
g13__fitr2__g1__first_shell__donor_hard_frac,0.33034425627958797,first_shell
g13__fitr2__g1__first_shell__donor_soft_frac,0.0007264632132500117,first_shell
g13__fitr2__g2__contraction__ionic_radius,1.0,contraction
g13__fitr2__g2__contraction__excess_mean,0.19391065260762122,contraction
g13__fitr2__g2__contraction__excess_min,0.16081569840567966,contraction
g13__fitr2__g2__contraction__excess_max,0.16379377875363074,contraction
g13__fitr2__g2__contraction__excess_std,0.15634298552563297,contraction
g13__fitr2__g2__contraction__excess_range,0.15131749081505222,contraction
