lanthanide_index,metal,rows,pairs_binned,pairs_strict,row_share,pair_share_binned
1.0,La,390,97,161,0.08217446270543616,0.05359116022099448
2.0,Ce,287,189,302,0.06047197640117994,0.10441988950276243
3.0,Pr,320,189,290,0.067425200168563,0.10441988950276243
4.0,Nd,562,97,149,0.11841550779603877,0.05359116022099448
6.0,Sm,237,88,105,0.04993678887484197,0.04861878453038674
7.0,Eu,1308,196,245,0.27560050568900124,0.10828729281767956
8.0,Gd,384,184,284,0.08091024020227561,0.10165745856353592
9.0,Tb,209,136,245,0.04403708386009271,0.07513812154696133
10.0,Dy,227,125,207,0.04782975136957438,0.06906077348066299
11.0,Ho,184,137,225,0.03876949009692372,0.07569060773480663
12.0,Er,233,131,217,0.04909397387273493,0.07237569060773481
13.0,Tm,145,103,173,0.03055204382638011,0.0569060773480663
14.0,Yb,145,91,153,0.03055204382638011,0.05027624309392265
15.0,Lu,115,47,78,0.02423093131057733,0.025966850828729283
