n_pairs_train,n_pairs_adj,adj_r2,adj_pearson2,adj_disp,all_r2,tag,loss,adj_weight,learner,population,strict,energy
6389,905,0.1351087629478085,0.1676987894822004,0.589359888991818,0.48195498961015,catboost_mae_w3_ok_only,mae,3.0,catboost,ok_only,False,False
6389,905,0.1285085662309157,0.1576640730336139,0.5656503985134829,0.4336962722012519,catboost_mae_w3_ok_only_energy,mae,3.0,catboost,ok_only,False,True
6389,905,0.160235574385775,0.1792320661472111,0.5481523822064832,0.4929913239417794,catboost_mae_w1_ok_only,mae,1.0,catboost,ok_only,False,False
6389,905,0.1355675148776371,0.1588909546005058,0.5494549458293481,0.4932168415212447,catboost_mae_w3_ok_only,mae,3.0,catboost,ok_only,False,False
6389,905,0.1814402600859385,0.1902824446501406,0.5274664342276891,0.4836600000331694,catboost_mae_w10_ok_only,mae,10.0,catboost,ok_only,False,False
6389,905,0.160235574385775,0.1792320661472111,0.5481523822064832,0.4929913239417794,catboost_q0.5_w1_ok_only,q0.5,1.0,catboost,ok_only,False,False
6389,905,0.1355675148776371,0.1588909546005058,0.5494549458293481,0.4932168415212447,catboost_q0.5_w3_ok_only,q0.5,3.0,catboost,ok_only,False,False
6389,905,0.1814402600859385,0.1902824446501406,0.5274664342276891,0.4836600000331694,catboost_q0.5_w10_ok_only,q0.5,10.0,catboost,ok_only,False,False
6389,905,0.156867482228497,0.1757655171923583,0.5541729318522565,0.5002343822476821,catboost_q0.6_w1_ok_only,q0.6,1.0,catboost,ok_only,False,False
6389,905,0.1780340775312209,0.1907249529348539,0.5283735167874276,0.495978609939649,catboost_q0.6_w3_ok_only,q0.6,3.0,catboost,ok_only,False,False
6389,905,0.1736313891480256,0.1861688326011569,0.5208170703374201,0.4834649532853192,catboost_q0.6_w10_ok_only,q0.6,10.0,catboost,ok_only,False,False
6389,905,0.1377018378017352,0.1732708454584558,0.5531505922721378,0.497697701347404,catboost_q0.7_w1_ok_only,q0.7,1.0,catboost,ok_only,False,False
6389,905,0.1618843297193124,0.1865127174078479,0.543066569192718,0.4871564189387526,catboost_q0.7_w3_ok_only,q0.7,3.0,catboost,ok_only,False,False
6389,905,0.1503816646510923,0.1765666508365252,0.489718341755761,0.4346524228654658,catboost_q0.7_w10_ok_only,q0.7,10.0,catboost,ok_only,False,False
6389,905,0.1546776062461087,0.1795692696117371,0.5778032150222667,0.4899141268098492,catboost_rmse_w1_ok_only,rmse,1.0,catboost,ok_only,False,False
6389,905,0.1376160616885138,0.1605479907409756,0.551416668614738,0.4775263612513248,catboost_rmse_w3_ok_only,rmse,3.0,catboost,ok_only,False,False
6389,905,0.1536465742637287,0.1707181577273437,0.543838807867426,0.4900265278714709,catboost_rmse_w10_ok_only,rmse,10.0,catboost,ok_only,False,False
6389,905,0.1909114499317433,0.1975758738397927,0.5245030547484891,0.5382144338679073,lgbm_mae_w3_ok_only,mae,3.0,lgbm,ok_only,False,False
10324,1349,0.0933570495833099,0.1180717789957351,0.4992168640525485,0.3873815424979767,catboost_mae_w3_has3d,mae,3.0,catboost,has3d,False,False
10324,1349,0.1199967529091278,0.1407525586672293,0.4865269199994406,0.3911735161973844,catboost_q0.6_w3_has3d,q0.6,3.0,catboost,has3d,False,False
6389,905,0.0736255848321909,0.1122305093513759,0.5314804911281483,0.2801455431586229,lgbm_mae_w3_ok_only_identity_cond_energy,mae,3.0,lgbm,ok_only,False,True
6389,905,0.06961204539140198,0.07062355457215158,0.2962625161111158,-0.01579011962627419,lgbm_mae_w3_ok_only_identity,mae,3.0,lgbm,ok_only,False,False
