config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
plus_g1,plus_g1,catboost,0.5320262769168147,0.758396410979772,0.31748071329731353,0.35006228099341885,0.4169060781344416,0.6193822582993396,0.8772778347710035,0.010583950482270343,-0.013752504000389925,0.025075305595133653,0.778,0.015293776274606485,-0.019411517702300395,0.04040975490182812,0.77,0.006120145071944805,-0.03002095011587495,0.02644051583306114,0.584,-0.01738605712999397,-0.038451419670421955,-0.005695618287196161,0.01,-0.003005751510174459,-0.019169069115912506,0.020446688136911122,0.414
inner_sphere,inner_sphere,catboost,0.5256335817262519,0.7521435073437661,0.31095552864215825,0.33452766373764975,0.3752258447782184,0.5942109314745121,0.8832333234498277,0.004191255291707496,-0.018267799417159412,0.019914059689967085,0.648,0.009040872638600428,-0.020388977190754713,0.03299815971502952,0.698,-0.00040503958321047584,-0.04089878104872817,0.020674742841232427,0.464,-0.03292067438576307,-0.059198928807926834,-0.017788484338974734,0.002,0.0029497371686497686,-0.015448057612036485,0.028115427375858294,0.58
baseline_2d,baseline_2d,catboost,0.5214423264345444,0.7431026347051657,0.31136056822536873,0.36744833812341293,0.4358055029984881,0.6406810637234615,0.880283586281178,,,,,,,,,,,,,,,,,,,,
core3d_qc,core3d_qc,catboost,0.521401906696142,0.7634775213916954,0.2919712470007675,0.33215242674867385,0.4002410473002701,0.5942576812591815,0.8832094639052016,-4.0419738402408534e-05,-0.013185833817175712,0.0168592669710234,0.488,0.02037488668652976,-0.010388503133067021,0.04665981784344032,0.862,-0.01938932122460124,-0.03839328305419038,-0.00563026190384175,0.012,-0.035295911374739086,-0.05074155085916221,-0.020146344050142023,0.004,0.0029258776240236317,-0.019635454644326523,0.018074987925719013,0.606
plus_g5,plus_g5,catboost,0.5194502429286313,0.756176441107075,0.295089569989458,0.3328759858047773,0.3846415452777271,0.61414051489881,0.8852802871348003,-0.001992083505913067,-0.019479669514843673,0.014226687143214485,0.394,0.01307380640190936,-0.017055462763576893,0.045536555795059226,0.746,-0.016270998235910716,-0.048203340426358286,0.002332614889771399,0.104,-0.034572352318635535,-0.06430536241345282,-0.012035686870622394,0.012,0.00499670085362236,-0.013204378120431098,0.02609060633130399,0.67
plus_g15c,plus_g15c,catboost,0.5162938050962026,0.7479972239047536,0.29669354383991653,0.3280103351905497,0.3713157914516716,0.5792483545243231,0.892060834578674,-0.0051485213383417605,-0.02734114954216684,0.014183166251207757,0.324,0.004894589199588073,-0.04003045666713888,0.037466490831411445,0.552,-0.014667024385452199,-0.051698021246849565,0.007742797060793662,0.148,-0.03943800293286315,-0.0702607366277873,-0.019148795536472564,0.0,0.011777248297496046,-0.01186873801471755,0.03766635310604034,0.776
cnfree_ligand,cnfree_ligand,catboost,0.513485231222328,0.7052712883394214,0.3317172259645983,0.32333668280025574,0.35056143777345306,0.6213914703446843,0.9002823918652225,-0.007957095212216325,-0.06422977108330256,0.038756257998443934,0.352,-0.03783134636574437,-0.0949266598979068,-0.0007632110207162554,0.046,0.020356657739229456,-0.09565194846536862,0.08490477728075721,0.58,-0.04411165532315697,-0.11358439988542175,-0.0050520512012078266,0.026,0.019998805584044543,-0.019464909903095677,0.07796133793680014,0.788
g5_ligand,g5_ligand,catboost,0.5119224842020957,0.7072753567264475,0.32677397813296405,0.32972334733650965,0.3513851083858698,0.6042679401989658,0.9020494062268641,-0.009519842232448616,-0.06716150215007825,0.042361296878576954,0.354,-0.03582727797871832,-0.08456595851577152,0.005304004401556544,0.08,0.015413409907595321,-0.10441456171757707,0.0821844862176022,0.55,-0.03772499078690317,-0.1231356733899912,0.008649835803501472,0.11,0.02176581994568616,-0.017456721014968497,0.08285427480737846,0.802
plus_g14c,plus_g14c,catboost,0.49898873449078074,0.686970357316598,0.3208264367732877,0.33196715943544264,0.3743042738258362,0.6430019511650666,0.9143877320926311,-0.022453591943763618,-0.07666700311779943,0.024169893838117688,0.198,-0.05613227738856774,-0.10163507937541572,-0.02386725807392079,0.002,0.009465868547918976,-0.10994000037938717,0.07576938556249478,0.526,-0.03548117868797018,-0.11871383958932089,0.006860425109353086,0.092,0.03410414581145316,-0.004905199737787007,0.09351311899583908,0.918
plus_g10,plus_g10,catboost,0.49739336496819764,0.707224757084207,0.2985226328685584,0.3289223798832316,0.34158440193570216,0.585035829986248,0.9094947708790003,-0.02404896146634672,-0.059509235174912335,0.0055506776976800625,0.086,-0.03587787762095862,-0.0731081927287153,-0.0009518219344943631,0.042,-0.012837935356810326,-0.08227676952545386,0.024329376950424114,0.314,-0.038525958240181346,-0.09141812819267668,-0.005250730454970512,0.02,0.02921118459782235,-0.0008257120835678959,0.07106630867909261,0.946
all_3d,all_3d,catboost,0.4901531305901119,0.7109854965394831,0.28085606667239993,0.3130802379426091,0.3303065672006492,0.5889278628144176,0.925689069947887,-0.03128919584443246,-0.06764404739979309,-0.003147344903817252,0.032,-0.032117138165682735,-0.0973835549511921,0.005058834670152762,0.078,-0.0305045015529688,-0.10991416119169727,0.011133574681761503,0.142,-0.054368100180803736,-0.10224760426199617,-0.01860086391185438,0.004,0.045405483666709046,0.0158614906881441,0.08805518476579968,1.0
ligand3d_only,ligand3d_only,catboost,0.48553779541163333,0.6642626554753448,0.3161487282808907,0.3396722042114054,0.36413537560587295,0.6465963842506655,0.9251019829275888,-0.035904531022911024,-0.10426459456826041,0.01951620544200963,0.14,-0.07883997922982078,-0.1444827784960473,-0.036828101779412294,0.002,0.004788160055521962,-0.10802168465705622,0.06998007810705238,0.498,-0.027776133912007395,-0.08136883318890036,0.004227040594627614,0.082,0.04481839664641085,-0.0022050002295699975,0.11472509468000278,0.934
denoised,denoised,catboost,0.48484557052582455,0.6639605603412615,0.3150867522889338,0.3520424196778814,0.3608798523653226,0.6326002565902654,0.9310757663259643,-0.0365967559087198,-0.08360560334090585,-0.006298441006791506,0.026,-0.07914207436390408,-0.157028836478978,-0.03311916961093866,0.0,0.0037261840635650634,-0.06927859282352751,0.046533892296684316,0.5,-0.015405918445531297,-0.06689505634264484,0.017638890607694035,0.262,0.05079218004478636,0.020842815120747853,0.10072225829786173,0.998
