=== champion configurations (reference = 'baseline_2d') ===
       config  r2_overall  r2_between  r2_within  r2_within_composition  sel_logSF_r2    mae
      plus_g1      0.5320      0.7584     0.3175                 0.3501        0.4169 0.8773
 inner_sphere      0.5256      0.7521     0.3110                 0.3345        0.3752 0.8832
  baseline_2d      0.5214      0.7431     0.3114                 0.3674        0.4358 0.8803
    core3d_qc      0.5214      0.7635     0.2920                 0.3322        0.4002 0.8832
      plus_g5      0.5195      0.7562     0.2951                 0.3329        0.3846 0.8853
    plus_g15c      0.5163      0.7480     0.2967                 0.3280        0.3713 0.8921
cnfree_ligand      0.5135      0.7053     0.3317                 0.3233        0.3506 0.9003
    g5_ligand      0.5119      0.7073     0.3268                 0.3297        0.3514 0.9020
    plus_g14c      0.4990      0.6870     0.3208                 0.3320        0.3743 0.9144
     plus_g10      0.4974      0.7072     0.2985                 0.3289        0.3416 0.9095
       all_3d      0.4902      0.7110     0.2809                 0.3131        0.3303 0.9257
ligand3d_only      0.4855      0.6643     0.3161                 0.3397        0.3641 0.9251
     denoised      0.4848      0.6640     0.3151                 0.3520        0.3609 0.9311
    plus_g13c      0.4771      0.6627     0.3013                 0.3546        0.3946 0.9278

=== paired delta vs reference (90 % interval, P(better)) ===
       config  d_r2_overall  d_r2_overall_lo  d_r2_overall_hi  d_r2_overall_p_better  d_r2_within  d_r2_within_p_better
      plus_g1        0.0106          -0.0138           0.0251                  0.778       0.0061                 0.584
 inner_sphere        0.0042          -0.0183           0.0199                  0.648      -0.0004                 0.464
    core3d_qc       -0.0000          -0.0132           0.0169                  0.488      -0.0194                 0.012
      plus_g5       -0.0020          -0.0195           0.0142                  0.394      -0.0163                 0.104
    plus_g15c       -0.0051          -0.0273           0.0142                  0.324      -0.0147                 0.148
cnfree_ligand       -0.0080          -0.0642           0.0388                  0.352       0.0204                 0.580
    g5_ligand       -0.0095          -0.0672           0.0424                  0.354       0.0154                 0.550
    plus_g14c       -0.0225          -0.0767           0.0242                  0.198       0.0095                 0.526
     plus_g10       -0.0240          -0.0595           0.0056                  0.086      -0.0128                 0.314
       all_3d       -0.0313          -0.0676          -0.0031                  0.032      -0.0305                 0.142
ligand3d_only       -0.0359          -0.1043           0.0195                  0.140       0.0048                 0.498
     denoised       -0.0366          -0.0836          -0.0063                  0.026       0.0037                 0.500
    plus_g13c       -0.0443          -0.0899          -0.0051                  0.034      -0.0101                 0.332
