config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,not_comparable,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
cn9_light/baseline_2d,baseline_2d,catboost,0.5221631876503312,0.7539852652764838,0.2977040329413039,0.30593056831722754,0.4339681048265671,0.6288440287002457,0.856670885758303,True,,,,,,,,,,,,,,,,,,,,
cn9_light/plus_g1,plus_g1,catboost,0.509229887115118,0.7253563112832007,0.29996787473127307,0.2982654405152313,0.3666227383993539,0.5909565706492235,0.8741186171931112,True,,,,,,,,,,,,,,,,,,,,
cn9_light/core3d_qc,core3d_qc,catboost,0.4951660636340768,0.7269719153898551,0.270722619444021,0.27809229909938626,0.32190026485523904,0.4958674961460469,0.8858802663310106,True,,,,,,,,,,,,,,,,,,,,
cn9_light/plus_g5,plus_g5,catboost,0.4898677893732939,0.7179348764535591,0.2690443626005393,0.275506015061592,0.31192971907431033,0.5561572431639831,0.892204129146391,True,,,,,,,,,,,,,,,,,,,,
cn9_light/inner_sphere,inner_sphere,catboost,0.48941450520708263,0.7099323148319796,0.2759005825749502,0.27710503745779613,0.30829912485645505,0.47530125545065866,0.9014485330838192,True,,,,,,,,,,,,,,,,,,,,
cn9_light/plus_g14c,plus_g14c,catboost,0.486272165834734,0.6633257584650984,0.3148419890933418,0.2968079534361132,0.35028376736551803,0.5848518918254737,0.9064208489942251,True,,,,,,,,,,,,,,,,,,,,
cn8_heavy/core3d_qc,core3d_qc,catboost,0.46970723654757673,0.6455550628240287,0.24574716027090793,0.13279417454207865,-0.09622271198360033,0.2603010137403011,0.9147253783657056,,0.06033891159528815,0.03586317875868909,0.08369919947629831,1.0,0.05756651125600676,0.023168815967839686,0.09426669245006379,0.982,0.06386984515643934,0.006074811082175759,0.09094166165309414,0.962,0.0007100729756525093,-0.027777357283419377,0.04081691537448334,0.458,-0.055725381047493805,-0.07060382635793004,-0.031793934066140304,0.0
cn8_heavy/plus_g5,plus_g5,catboost,0.46787728534925876,0.6366090925141215,0.25298018253529464,0.12570730536460428,-0.08396300265444112,0.2994172848280761,0.9255865492413747,,0.05850896039697018,0.025447181276855493,0.08819118360658608,1.0,0.048620540946099466,-0.006291222559115755,0.09750588168942523,0.926,0.07110286742082594,0.02366987922002512,0.09744532862904502,0.99,-0.006376796201821744,-0.041270682430639874,0.05551462343756115,0.398,-0.044864210171824626,-0.06992516171138366,-0.014730159537697693,0.01
cn8_heavy/inner_sphere,inner_sphere,catboost,0.46359646904673524,0.6459285543406962,0.23137802998612167,0.10865882038480346,-0.18456825276807232,0.2654144583672403,0.9215888159022914,,0.05422814409444665,0.03785041963191925,0.07907517113684602,1.0,0.057940002772674304,0.027657304837597953,0.10292593339685162,0.992,0.049500714871653195,0.01485255342693503,0.07367909767168213,0.982,-0.02342528118162246,-0.04768628440637687,0.016987286151947424,0.16,-0.048861943510908,-0.06493920783937207,-0.034818848314522526,0.0
cn9_light/all_3d,all_3d,catboost,0.45631279887185294,0.6479836706500657,0.27072960376711497,0.25430592638232996,0.18685774905247532,0.4100469308589353,0.9445377801004288,True,,,,,,,,,,,,,,,,,,,,
cn8_heavy/plus_g14c,plus_g14c,catboost,0.4507984869965267,0.6319466482817278,0.2200878954704676,0.1488081606541386,-0.013146824584631789,0.4112963711763904,0.9595171237857933,,0.041430162044238106,-0.016107182919777162,0.089733000905334,0.89,0.04395809671370576,-0.04522757215631282,0.12700591276048886,0.792,0.03821058035599889,-0.005630501594638861,0.08463944698948375,0.922,0.016724059087712573,-0.025761443632118967,0.0773332974760759,0.696,-0.010933635627406013,-0.055648896635750456,0.027542759449012,0.322
cn8_heavy/plus_g1,plus_g1,catboost,0.43821561483904214,0.6099096214911953,0.219545849961702,0.11554458752210484,-0.13128509531185895,0.3123446506245055,0.9433479628890711,,0.028847289886753558,0.01472021125656688,0.04433596815243249,0.996,0.02192106992317322,-0.0027268435695511238,0.043886095672199185,0.936,0.037668534847233204,0.005834343146297433,0.058363242934256376,0.97,-0.01653951404432119,-0.0364704894603914,0.016285276232285265,0.2,-0.02710279652412828,-0.034943114108100165,-0.01441823711186589,0.0
cn8_heavy/baseline_2d,baseline_2d,catboost,0.4093683249522886,0.5879885515680219,0.18187731511446859,0.13208410156642603,-0.024986299285059577,0.4809241602694569,0.9704507594131994,,,,,,,,,,,,,,,,,,,,,
