config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better,not_comparable
cn9_light/baseline_2d,baseline_2d,catboost,0.5221631876503312,0.7539852652764838,0.2977040329413039,0.30593056831722754,0.4339681048265671,0.6288440287002457,0.856670885758303,,,,,,,,,,,,,,,,,,,,,
cn9_light/plus_g1,plus_g1,catboost,0.509229887115118,0.7253563112832007,0.29996787473127307,0.2982654405152313,0.3666227383993539,0.5909565706492235,0.8741186171931112,-0.012933300535213244,-0.034304435848651824,0.003570322994787537,0.138,-0.028628953993283135,-0.051225600162470124,-0.0003879519400695566,0.048,0.00226384178996919,-0.037938852697330085,0.018693444588039232,0.54,-0.007665127801996241,-0.028696219021209758,0.0018322350807120173,0.104,0.017447731434808267,0.002007694111457992,0.03896489847841478,0.972,
cn9_light/core3d_qc,core3d_qc,catboost,0.4951660636340768,0.7269719153898551,0.270722619444021,0.27809229909938626,0.32190026485523904,0.4958674961460469,0.8858802663310106,-0.026997124016254426,-0.04353004610276061,-0.00953215552092496,0.006,-0.027013349886628846,-0.05067659059202326,0.00047074458021506365,0.054,-0.02698141349728289,-0.05975957665256397,-0.011476652101636026,0.0,-0.02783826921784127,-0.056304900431820716,-0.012338969783033667,0.0,0.02920938057270761,0.007955973222046267,0.051654107332490255,0.984,
cn9_light/plus_g5,plus_g5,catboost,0.4898677893732939,0.7179348764535591,0.2690443626005393,0.275506015061592,0.31192971907431033,0.5561572431639831,0.892204129146391,-0.03229539827703731,-0.05103814802808322,-0.014839951623295862,0.0,-0.03605038882292477,-0.055603205064209876,-0.014418673317697528,0.012,-0.028659670340764554,-0.07055257385242214,-0.006691397903736459,0.008,-0.030424553255635534,-0.08067129121671565,-0.00694236728800299,0.014,0.035533243388088054,0.01856616493602244,0.06210670453132246,1.0,
cn9_light/inner_sphere,inner_sphere,catboost,0.48941450520708263,0.7099323148319796,0.2759005825749502,0.27710503745779613,0.30829912485645505,0.47530125545065866,0.9014485330838192,-0.03274868244324858,-0.05396410523929799,-0.012748425847049022,0.004,-0.044052950444504524,-0.0745959893154081,-0.015048018583597755,0.01,-0.021803450366353894,-0.06885842129141095,3.053134291478363e-06,0.05,-0.028825530859431514,-0.054656127836387194,-0.011865673046679915,0.01,0.04477764732551626,0.02036378700628813,0.07100887485962093,1.0,
cn9_light/plus_g14c,plus_g14c,catboost,0.486272165834734,0.6633257584650984,0.3148419890933418,0.2968079534361132,0.35028376736551803,0.5848518918254737,0.9064208489942251,-0.035891021815597224,-0.11860657938063693,0.029164884682723158,0.164,-0.09065950681138557,-0.12572430456939457,-0.05422384358795712,0.0,0.017137956152037948,-0.13609828380630462,0.08537310173252649,0.53,-0.009122614881114322,-0.08447527378754019,0.026555060295866052,0.368,0.04974996323592218,-0.0021485774929857924,0.13532092047455796,0.936,
cn8_heavy/core3d_qc,core3d_qc,catboost,0.46970723654757673,0.6455550628240287,0.24574716027090793,0.13279417454207865,-0.09622271198360033,0.2603010137403011,0.9147253783657056,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g5,plus_g5,catboost,0.46787728534925876,0.6366090925141215,0.25298018253529464,0.12570730536460428,-0.08396300265444112,0.2994172848280761,0.9255865492413747,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/inner_sphere,inner_sphere,catboost,0.46359646904673524,0.6459285543406962,0.23137802998612167,0.10865882038480346,-0.18456825276807232,0.2654144583672403,0.9215888159022914,,,,,,,,,,,,,,,,,,,,,True
cn9_light/all_3d,all_3d,catboost,0.45631279887185294,0.6479836706500657,0.27072960376711497,0.25430592638232996,0.18685774905247532,0.4100469308589353,0.9445377801004288,-0.06585038877847826,-0.13503747264296082,-0.011780815050794273,0.022,-0.10600159462641834,-0.16553832266215732,-0.05884521132917307,0.0,-0.026974429174188908,-0.17720593454283803,0.03535104853825805,0.27,-0.051624641934897575,-0.11790098171992279,-0.018079363881469617,0.006,0.0878668943421258,0.03897323358716498,0.16721219708601334,1.0,
cn8_heavy/plus_g14c,plus_g14c,catboost,0.4507984869965267,0.6319466482817278,0.2200878954704676,0.1488081606541386,-0.013146824584631789,0.4112963711763904,0.9595171237857933,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g1,plus_g1,catboost,0.43821561483904214,0.6099096214911953,0.219545849961702,0.11554458752210484,-0.13128509531185895,0.3123446506245055,0.9433479628890711,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/baseline_2d,baseline_2d,catboost,0.4093683249522886,0.5879885515680219,0.18187731511446859,0.13208410156642603,-0.024986299285059577,0.4809241602694569,0.9704507594131994,,,,,,,,,,,,,,,,,,,,,True
