config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
BEST +G5,plus_g5,anchored:catboost,0.5342866927188066,0.7611377578273337,0.31928531975563457,0.34954924306103097,0.41570399280105985,0.6106875090796708,0.8783171506003762,0.044152358458000474,-4.423041878114258e-05,0.08901423947591192,0.945,0.03740638259018736,0.0026745183014216536,0.10216286210291153,0.9625,0.050545954506854174,-0.0336407529706059,0.09716681987635663,0.7575,-0.021244291328510356,-0.04015021333836269,0.03135624867680803,0.1975,-0.022555812283922894,-0.05335400432588672,0.016405710721971844,0.15
BEST 2D: cat+wts+anchored+clip,baseline_2d,anchored:catboost,0.533820359298167,0.7492086145660126,0.3296830298984811,0.36194642610459415,0.4314385997895479,0.6441723516057238,0.8772428506162926,0.043686025037360854,0.0028159751185849345,0.08588055933898293,0.9675,0.025477239328866252,-0.010456467704087306,0.0845319821825822,0.88,0.06094366464970069,-0.007233411754776519,0.09650804654398785,0.905,-0.00884710828494717,-0.03340923399440856,0.04221473528819857,0.3975,-0.023630112268006487,-0.0461508536479843,0.004382484856306331,0.09
delta-learning 2D only,baseline_2d,pairwise:catboost,0.5316667836368343,0.7520502776371468,0.32279514459110203,0.3752914141078115,0.3674376832990033,0.5731544177804206,0.8809894252196775,0.04153244937602818,0.01098931466486397,0.07228276103803744,0.9925,0.028318902400000345,-0.008801705839512949,0.09312869430776498,0.895,0.05405577934232164,0.01815389893720147,0.07299099838862995,0.995,0.0044978797182702035,-0.02991655760674066,0.07264304196811254,0.58,-0.019883537664621587,-0.04273985723762498,-2.656343813695678e-05,0.05
"anchored, 2D only",baseline_2d,anchored:catboost,0.5296577746374429,0.7520502776371468,0.3188820682999929,0.34898761013015067,0.42823935991111994,0.6342253853128442,0.8815008868516379,0.0395234403766368,-0.003397687183012886,0.08305342591447427,0.9175,0.028318902400000123,-0.008801705839513176,0.09312869430776498,0.895,0.05014270305121249,-0.030478470772206823,0.09366201418455618,0.7925,-0.021805924259390652,-0.047191642062581036,0.02761753395656511,0.2275,-0.019372076032661223,-0.04346050747908966,0.013903988619405725,0.1525
delta-learning + G5,plus_g5,pairwise:catboost,0.5283385614790416,0.7561339465391639,0.3124421956446112,0.3574868176977031,0.35491290269706,0.5774380250410908,0.8838594445340261,0.038204227218235465,-0.0021495480813926863,0.0751752927771293,0.94,0.03240257130201729,-0.005292249954240512,0.10299312790696785,0.9125,0.043702830395830894,-0.02863793509213669,0.07804003926419907,0.8425,-0.01330671669183825,-0.061721747264060656,0.05513887893109123,0.34,-0.017013518350272983,-0.04944347459933565,0.014370402076735678,0.1775
BEST 2D clip only (control),baseline_2d,catboost,0.5282630995573072,0.7492086145660126,0.31885879698460073,0.37131829763188207,0.4608342972570304,0.6488235874193181,0.8763507343167221,0.03812876529650111,0.01100404314541681,0.06448102831875517,0.995,0.02547723932886603,-0.010456467704087523,0.08453198218258198,0.88,0.05011943173582034,0.017478981091608125,0.06586018704562825,0.9925,0.0005247632423407422,-0.029252256520563263,0.055973869899401694,0.5425,-0.02452222856757702,-0.044194426044481955,-0.007461358594036245,0.01
"baseline 2D, CatBoost + group wts",baseline_2d,catboost,0.527583999588125,0.7520502776371468,0.31484284299983833,0.36170065146100494,0.4578233159918048,0.639568697770826,0.8759951223996532,0.03744966532731886,0.008203046813892676,0.0656416858012858,0.9875,0.028318902400000234,-0.00880170583951317,0.09312869430776488,0.895,0.04610347775105783,-0.0014367184782020186,0.06857173852248737,0.9475,-0.009092882928536383,-0.038041710774154094,0.03490453373435087,0.3725,-0.02487784048464592,-0.04253601877813824,-0.005220942046761723,0.025
anchored + G5,plus_g5,anchored:catboost,0.526447915044137,0.7561339465391639,0.3087596617477816,0.3368551062133329,0.4139871966370857,0.6111206234045723,0.886785840772213,0.03631358078333091,-0.009908328286244671,0.08141505867447103,0.885,0.03240257130201729,-0.005292249954240295,0.10299312790696806,0.9125,0.040020296499001184,-0.04997759236791122,0.08846257065058004,0.705,-0.03393842817620829,-0.05667076382254038,0.0126123810216496,0.095,-0.01408712211208607,-0.04393037460258866,0.025696985015243007,0.25
"baseline 2D, CatBoost",baseline_2d,catboost,0.5244473537274442,0.7536293414818496,0.30723681516527,0.361674286624035,0.43896358909755195,0.6109985743125099,0.8798748024715202,0.03431301946663812,-0.00416855990386577,0.07272262664530012,0.8975,0.0298979662447032,-0.010999366818715809,0.10745299877686491,0.865,0.03849744991648962,-0.021124173157748255,0.06904116001476883,0.78,-0.009119247765506433,-0.03168985348079818,0.030652116687116718,0.325,-0.02099816041277891,-0.042795436614868544,0.009968464688530895,0.1275
+ curated g_core,core3d_qc,catboost,0.5238287983118033,0.7602431317143894,0.2997636997176576,0.337603166674348,0.4277413242625576,0.5978293356726772,0.8832004685383305,0.033694464050997186,0.006009937095486129,0.06286772519661465,0.98,0.03651175647724292,0.0063599674068248145,0.09999256546853669,0.9775,0.0310243344688772,-0.019893210902716073,0.05508971095564282,0.7925,-0.03319036771519335,-0.05830570988054658,0.013426156725469495,0.115,-0.017672494345968626,-0.04243073250338181,0.0017270241484757633,0.065
