config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better,not_comparable
cn8_heavy/core3d_qc,core3d_qc,catboost,0.46970723654757673,0.6455550628240287,0.24574716027090793,0.13279417454207865,-0.09622271198360033,0.2603010137403011,0.9147253783657056,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g5,plus_g5,catboost,0.46787728534925876,0.6366090925141215,0.25298018253529464,0.12570730536460428,-0.08396300265444112,0.2994172848280761,0.9255865492413747,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/inner_sphere,inner_sphere,catboost,0.46359646904673524,0.6459285543406962,0.23137802998612167,0.10865882038480346,-0.18456825276807232,0.2654144583672403,0.9215888159022914,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g1,plus_g1,catboost,0.43821561483904214,0.6099096214911953,0.219545849961702,0.11554458752210484,-0.13128509531185895,0.3123446506245055,0.9433479628890711,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/baseline_2d,baseline_2d,catboost,0.4093683249522886,0.5879885515680219,0.18187731511446859,0.13208410156642603,-0.024986299285059577,0.4809241602694569,0.9704507594131994,,,,,,,,,,,,,,,,,,,,,True
cn9_matched:1/baseline_2d,baseline_2d,catboost,0.38372619788624607,0.4851879918671116,0.2909611170809139,0.1617704726130248,0.3650570080905726,0.5486369519825033,0.7936438726140203,,,,,,,,,,,,,,,,,,,,,
cn9_matched:1/plus_g1,plus_g1,catboost,0.3665308401795845,0.42864745746062816,0.30973849701919665,0.20235670609591183,0.3580371826201183,0.47864510559725404,0.8231173288432334,-0.017195357706661585,-0.048890276687735254,0.03142220904331116,0.255,-0.05654053440648332,-0.11251676752129663,0.012910744400853923,0.095,0.018777379938282768,-0.02084809607394974,0.07568800184745618,0.7775,0.040586233482887146,-0.020976767022040273,0.1405936875445758,0.83,0.029473456229213157,-0.0063685227247262275,0.06207431818951965,0.9125,
cn9_matched:1/core3d_qc,core3d_qc,catboost,0.3557067743157706,0.42519518495665864,0.29217450492428165,0.18968369157458143,0.32533428711441936,0.47652726477405055,0.8326204138258325,-0.028019423570475488,-0.05931846699698886,0.01535313458773234,0.1275,-0.059992806910452834,-0.09870646197709368,-0.011063164067610924,0.0325,0.0012133878433677747,-0.04106813733152255,0.07218525893027267,0.44,0.02791321896155663,-0.0402623664392559,0.15873738010747945,0.65,0.038976541211812266,0.01235841838377792,0.062103329808643803,0.99,
cn9_matched:0/baseline_2d,baseline_2d,catboost,0.3407981849905435,0.3737212889207572,0.31258091141018596,0.16747300838410073,0.3634029679107059,0.5516235157702288,0.8011524107134749,-0.04298416737050781,-0.1875201597057161,0.07032068660011863,0.355,-0.1161744962054585,-0.44147150503117205,0.12033917106846341,0.2825,0.016841860479834048,-0.01881798543476121,0.055663251537707924,0.7825,0.0013151520571951236,-0.04944057766129847,0.060598838691975465,0.4775,0.020224857252142403,-0.04405346597691076,0.09410916808052272,0.6525,
cn9_matched:0/core3d_qc,core3d_qc,catboost,0.3327958190372401,0.3716493317158397,0.2994957936467475,0.15687083702011295,0.24847720575264132,0.4211334081266268,0.839848358330434,-0.04659663438438155,-0.12417083183050939,0.04218890876786266,0.165,-0.10515447207504702,-0.291963525982228,0.06290732044176375,0.1475,0.0012687446117656265,-0.04418935654025668,0.07106694137472122,0.4725,-0.009925347749107805,-0.07794654863017374,0.1098698634850396,0.4,0.055795637179362756,0.005414286741037422,0.10576963548444808,0.9675,
cn9_matched:1/inner_sphere,inner_sphere,catboost,0.3212764089338729,0.3435024458197693,0.30095545829021186,0.19448027587247196,0.32108702999602756,0.44842553710197586,0.8563607777053779,-0.062449788952373186,-0.10201572172023662,-0.004549612149922083,0.0325,-0.1416855460473423,-0.21751168874613402,-0.06228042178939503,0.005,0.009994341209297875,-0.03848024234230959,0.080418148970228,0.6175,0.03270980325944717,-0.046105654579610356,0.1813548277239465,0.7125,0.06271690509135763,0.01787570931230291,0.10014072030254445,0.9925,
cn9_matched:0/plus_g1,plus_g1,catboost,0.31798926680021355,0.33283128057719324,0.3052686811556703,0.1600625015240974,0.2988073198745733,0.4570311062844372,0.84275697800758,-0.06930700979994908,-0.1819259861117959,0.036387808723297346,0.1375,-0.1623138206509792,-0.41912928585303,0.044724827712657296,0.11,0.0067170789672011955,-0.03188052382336887,0.06573830312338338,0.59,-0.006525093369846857,-0.06680078960129883,0.09137067498950395,0.42,0.06482290101767063,0.001207264254101208,0.1277873697508439,0.95,
cn9_matched:2/core3d_qc,core3d_qc,catboost,0.31674463500953354,0.2855848498572736,0.34250164525499094,0.24077213596110503,0.32361357006675384,0.437823892090933,0.8671218846750961,-0.05053308721280492,-0.15732978176378418,0.1255757358726609,0.33,-0.16731657775360476,-0.413510216141504,0.11384565780074003,0.17,0.03595407507338266,-0.049102618478852424,0.20043401760317636,0.735,0.08379220359254547,-0.0371777285611982,0.34953018060437735,0.8075,0.06973503870001763,-0.03620566615716759,0.14427036797831488,0.855,
cn9_matched:1/plus_g5,plus_g5,catboost,0.3120236177729312,0.36639932147202003,0.2623086822333127,0.15839578351191352,0.2791007385959723,0.445587834747242,0.8689842846760214,-0.07170258011331487,-0.11715460338617499,-0.017671591472602145,0.0175,-0.11878867039509144,-0.19431887122209313,-0.05706575723631593,0.0,-0.02865243484760116,-0.07983394148411328,0.048686222492369105,0.2075,-0.0033746891011113833,-0.1006939419170069,0.17066364456987757,0.4525,0.07534041206200115,0.03290124875159805,0.11488598725910329,0.9975,
cn9_matched:0/plus_g5,plus_g5,catboost,0.2995477768250292,0.31818069841653174,0.2835781329158993,0.15490944003931284,0.2524358015968059,0.4848553532996805,0.8711457281075664,-0.07832458474909376,-0.1547457698628898,0.021224795722450306,0.0975,-0.1598511452086966,-0.3339473762639023,0.019295490396010827,0.0775,-0.011684492345660713,-0.07947224724574316,0.07907327527049697,0.3775,-0.012565551653619056,-0.1072727931423614,0.13236238789028823,0.3925,0.08589461945891697,0.025572750607089852,0.14254783379584676,0.9825,
cn9_matched:2/baseline_2d,baseline_2d,catboost,0.28683303155418827,0.22064131996889058,0.34154780526446904,0.23771654947497844,0.4412765249245396,0.5054157750905943,0.8726154101309577,-0.10902808825733346,-0.24659171477163694,0.09119176786183163,0.145,-0.28558047311258483,-0.7080457534813498,0.046112968033236036,0.08,0.02172254002308205,-0.04350996673568676,0.16212762636253109,0.675,0.08044389664798435,-0.018623336636636754,0.30811781849522824,0.8525,0.08775803693711304,-0.018453203764624487,0.16779854949736367,0.9025,
cn9_matched:2/plus_g1,plus_g1,catboost,0.28233021849125617,0.21175017785259587,0.3406724317309041,0.24170749037270722,0.39374692227252883,0.5324018342230797,0.8905603257319064,-0.10296313953907676,-0.22244016107458178,0.08293888755514602,0.1475,-0.27948879630274814,-0.5650087690439669,0.021215189101387862,0.06,0.027767694532556564,-0.05843634752699605,0.19107671206863555,0.69,0.08380335611809209,-0.03330324638819503,0.3379006451206746,0.835,0.10031547647508687,-0.006844339166743053,0.17259639607169,0.9325,
cn9_matched:2/inner_sphere,inner_sphere,catboost,0.27261464812890857,0.1887949210720612,0.34190092715891884,0.23097901690392908,0.303324541871394,0.4319882541524751,0.9034604596284245,-0.10120694629654725,-0.21282846132099423,0.09562337779498944,0.155,-0.27628384113881876,-0.5402969930560544,0.024154652287690405,0.0675,0.028450968077019967,-0.06493900076459981,0.204575454368455,0.6725,0.07383404900230706,-0.05547804229272008,0.3607814309883314,0.78,0.10437705508707407,-0.004303240499670462,0.18284928475632162,0.9375,
cn9_matched:0/inner_sphere,inner_sphere,catboost,0.2693663373579749,0.24595951815626216,0.28942752668145666,0.15115011878939522,0.23806661781427374,0.424428638119077,0.8856090673117151,-0.11151891940252856,-0.2597746383042265,0.023701634850609145,0.09,-0.2371981641969575,-0.5717317698277178,0.036812860682676835,0.0775,-0.008788270162831013,-0.05684906540136595,0.0676764372475944,0.4,-0.015637662917638684,-0.09440690399773272,0.13030789783987146,0.38,0.10190018910447585,0.03328087523842005,0.17744676277511248,0.9875,
cn9_matched:2/plus_g5,plus_g5,catboost,0.2515955794360497,0.1707985901171334,0.31838323126100143,0.22030409912395832,0.30955545637763027,0.42371951544219255,0.9226047707224555,-0.12347293776863455,-0.22681198616702156,0.05451529724868966,0.1125,-0.29624264571561276,-0.5501924439913107,0.008625245759149254,0.055,0.004476327150170101,-0.08202242827533837,0.1710112000449588,0.5375,0.0623824445712835,-0.07480090895718268,0.33259794810474175,0.7225,0.12740179174846444,0.012353699416931225,0.1986411994287962,0.955,
