config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
+ G14c metal-free family means,plus_g14c,catboost,0.5091349780949512,0.7050914149405246,0.3373655094214797,0.3467886676119327,0.49648401133893094,0.6218990165065293,0.8886429217798864,0.00772065520734222,-0.059713036278255735,0.05227147591175454,0.5125,-0.03793079686410028,-0.1056856430893022,0.0029854392684782903,0.0675,0.04773733336659958,-0.06295209973181486,0.10291992648361183,0.63,-0.01666004694214962,-0.06936706926009387,0.008030498788556271,0.165,0.007793344095518462,-0.029260182562371104,0.07375652443864868,0.6275
"baseline 2D, CatBoost",baseline_2d,catboost,0.5047819135767638,0.7449032343649398,0.2942988472743213,0.37140402320096266,0.5235110803475653,0.609357541588314,0.8762365931488286,0.00336759068915482,-0.011692472965372156,0.016818008209662682,0.5925,0.001881022560314971,-0.018222443514311265,0.03193722409070533,0.505,0.0046706712194412026,-0.02185404265594334,0.017216796539963487,0.59,0.007955308646880543,-0.014852955352567431,0.018121195622464514,0.67,-0.004612984535539266,-0.01791676926424637,0.015304736679664853,0.3525
+ G5 & metal-free,g5_ligand,catboost,0.5041682515077499,0.7159967249253113,0.31848583701517863,0.3437283673130065,0.48947971961633696,0.6054836216680687,0.8953512487359464,0.0027539286201408997,-0.06566012312605486,0.04520404672124651,0.47,-0.02702548687931361,-0.10127296555194613,0.01954516686714186,0.13,0.028857660960298515,-0.07550798185028176,0.08416822008335431,0.62,-0.01972034724107563,-0.07130436044080042,0.005436307501862464,0.1325,0.014501671051578513,-0.022017530769100985,0.08284602710758121,0.715
+ CN-free & metal-free,cnfree_ligand,catboost,0.5031775025344658,0.713407678736939,0.31889610690015435,0.3296411123785059,0.4671441846834711,0.5880653274324479,0.8945522953416442,0.001763179646856794,-0.07473091349115626,0.04603403458868957,0.46,-0.029614533067686022,-0.11221618358771537,0.018216470054272006,0.1375,0.029267930845274126,-0.08323835309419098,0.08860322077867992,0.6175,-0.03380760217557621,-0.08706597251244726,-0.006506803535027463,0.0025,0.013702717657276264,-0.023332924865480414,0.0845321037473146,0.705
"baseline 2D, CatBoost + group wts",baseline_2d,catboost,0.501414322887609,0.743022211804625,0.2896281760548801,0.36344871455408223,0.5496083944217471,0.6164853935169238,0.8808495776843679,,,,,,,,,,,,,,,,,,,,
+ G5 xTB electronics,plus_g5,catboost,0.4897323002505275,0.7439544821040821,0.2668888468537469,0.33730514190494587,0.5019153916204352,0.605282490482538,0.8921776670659664,-0.011682022637081513,-0.025483713778814254,0.004004644769149431,0.085,0.000932270299456972,-0.021913195974724617,0.029330533524261387,0.43,-0.022739329201133196,-0.044105795829372116,-0.011587344373874998,0.005,-0.02614357264913625,-0.04536298466506329,-0.01551562484203299,0.0,0.01132808938159846,-0.005057611586098969,0.03156888182109027,0.8875
+ shipped 3D blocks,plus_p3d_all,catboost,0.4798816788409819,0.7106111991646468,0.2776311799481401,0.32898978799784995,0.4497386804760708,0.5409205514260251,0.9073327980995624,-0.021532644046627136,-0.048044111557231435,-0.005611552438550357,0.0025,-0.03241101263997792,-0.07116116493605698,-0.012423879439333698,0.0,-0.011996996106739988,-0.05091898712575676,0.0070561424914594335,0.175,-0.03445892655623217,-0.07035187970528087,-0.01903432363756496,0.0,0.026483220415194464,0.010056121078309374,0.05531537935861555,0.99
+ G13c metal-free family slopes,plus_g13c,catboost,0.47629120500053557,0.6820679924412589,0.2959135148719789,0.3522714501328157,0.4702571919289472,0.631754004530572,0.9106491745977686,-0.025123117887073443,-0.08205121980383684,0.014976405543502068,0.185,-0.06095421936336587,-0.10334106271274818,-0.012212683887310968,0.0375,0.006285338817098807,-0.06411225829962527,0.04338162708361885,0.5275,-0.01117726442126643,-0.04743438242107252,0.005348998276731645,0.1725,0.029799596913400728,-0.0047634175450252106,0.08640879895115502,0.9275
+ G15c CN-effect removed,plus_g15c,catboost,0.47101250668334227,0.7218837591918958,0.251106376308039,0.32230261179225084,0.44736811543410904,0.5745109556544609,0.9144871077257186,-0.03040181620426674,-0.05045247380203378,-0.007701618667141736,0.015,-0.021138452612729286,-0.08352422471876902,0.017071274958734336,0.1625,-0.03852179974684111,-0.06685330282903307,-0.02217151350229011,0.0,-0.04114610276183128,-0.07686604375902002,-0.024323696273075065,0.0,0.03363753004135073,0.006527260643040239,0.05712410330198069,0.9725
"baseline 2D, LightGBM",baseline_2d,lgbm,0.4315827517546714,0.6650712971065986,0.22691377521041733,0.3638258550570377,0.49771516904425217,0.5674510679126027,0.9367069796751174,-0.06983157113293759,-0.10142276060707317,-0.025011285684139475,0.005,-0.07795091469802629,-0.14098490059588936,-0.03030469598229394,0.005,-0.06271440084446278,-0.08803178262307991,-0.004080074680408698,0.025,0.0003771405029555641,-0.04083380187168998,0.01774460024768149,0.5175,0.05585740199074951,0.02347745563951395,0.07649689155284176,0.9975
