config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
BEST +G5,plus_g5,anchored:catboost,0.5342866927188066,0.7611377578273337,0.31928531975563457,0.34954924306103097,0.41570399280105985,0.6106875090796708,0.8783171506003762,0.006702693130681614,-0.01689846403633135,0.02880988102579364,0.6725,0.009087480190187125,-0.0162727045761913,0.0327289548095733,0.745,0.004442476755796343,-0.04777952740001045,0.035643844976253135,0.53,-0.012151408399973973,-0.04594714652291934,0.03074389149061266,0.305,0.0023220282007230253,-0.02035683597610171,0.03350199717643948,0.5425
BEST 2D: cat+wts+anchored+clip,baseline_2d,anchored:catboost,0.533820359298167,0.7492086145660126,0.3296830298984811,0.36194642610459415,0.4314385997895479,0.6441723516057238,0.8772428506162926,0.006236359710041994,-0.011423991467704031,0.02173801117120168,0.69,-0.002841663071133982,-0.012981912386934729,0.004261706891279737,0.26,0.01484018689864286,-0.021456764031040597,0.03631131276934359,0.73,0.00024577464358921386,-0.020928089929836535,0.03767399389783942,0.555,0.0012477282166394321,-0.013802743312265242,0.02267997559833664,0.555
delta-learning 2D only,baseline_2d,pairwise:catboost,0.5316667836368343,0.7520502776371468,0.32279514459110203,0.3752914141078115,0.3674376832990033,0.5731544177804206,0.8809894252196775,0.00408278404870932,-0.001430464013788174,0.01427457215915995,0.8575,1.1102230246251565e-16,-1.1102230246251565e-16,3.3306690738754696e-16,0.6725,0.00795230159126381,-0.0026976684412320815,0.03188226017414644,0.8575,0.013590762646806587,-0.004592042290580255,0.054612812197617176,0.8575,0.004994302820024332,-0.003590389789385834,0.010478398553938088,0.8025
"anchored, 2D only",baseline_2d,anchored:catboost,0.5296577746374429,0.7520502776371468,0.3188820682999929,0.34898761013015067,0.42823935991111994,0.6342253853128442,0.8815008868516379,0.0020737750493179385,-0.01682056244930408,0.0182032226744772,0.5175,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0175,0.0040392253001546585,-0.03793965165321709,0.02918099111839102,0.5175,-0.012713041330854269,-0.03182956647945592,0.009666644566218116,0.1975,0.005505764451984696,-0.01044935970960525,0.029155440886471977,0.6525
delta-learning + G5,plus_g5,pairwise:catboost,0.5283385614790416,0.7561339465391639,0.3124421956446112,0.3574868176977031,0.35491290269706,0.5774380250410908,0.8838594445340261,0.0007545618909166052,-0.01901484211015227,0.02168032029156508,0.545,0.004083668902017057,-0.019339253198888472,0.03388608021382604,0.61,-0.002400647355226937,-0.04495198375598953,0.024912497336997866,0.4725,-0.004213833763301866,-0.061874543147184685,0.04544129146529121,0.475,0.007864322134372936,-0.01790214040885807,0.029998869904924747,0.7125
BEST 2D clip only (control),baseline_2d,catboost,0.5282630995573072,0.7492086145660126,0.31885879698460073,0.37131829763188207,0.4608342972570304,0.6488235874193181,0.8763507343167221,0.0006790999691822508,-0.005721674633243184,0.011091557984550448,0.58,-0.002841663071134204,-0.01298191238693484,0.004261706891279626,0.26,0.00401595398476251,-0.005884989743207425,0.025431932161187307,0.7275,0.009617646170877125,-0.0019192928872269865,0.03583547859973687,0.8725,0.0003556119170688987,-0.010396051667662238,0.007261396034926219,0.5175
"baseline 2D, CatBoost + group wts",baseline_2d,catboost,0.527583999588125,0.7520502776371468,0.31484284299983833,0.36170065146100494,0.4578233159918048,0.639568697770826,0.8759951223996532,,,,,,,,,,,,,,,,,,,,
anchored + G5,plus_g5,anchored:catboost,0.526447915044137,0.7561339465391639,0.3087596617477816,0.3368551062133329,0.4139871966370857,0.6111206234045723,0.886785840772213,-0.0011360845439879474,-0.024955444686978995,0.02063638728395392,0.45,0.004083668902017057,-0.01933925319888825,0.03388608021382604,0.61,-0.006083181252056646,-0.06160591724743482,0.026379319055422137,0.38,-0.024845545247671907,-0.05904009386945186,0.004741139273732272,0.085,0.010790718372559849,-0.011782772807341807,0.041538274312310636,0.755
"baseline 2D, CatBoost",baseline_2d,catboost,0.5244473537274442,0.7536293414818496,0.30723681516527,0.361674286624035,0.43896358909755195,0.6109985743125099,0.8798748024715202,-0.0031366458606807424,-0.01902199130362932,0.01023648423941271,0.3375,0.001579063844702966,-0.02214567219660819,0.0282577250424051,0.5025,-0.0076060278345682075,-0.03457174195254546,0.0066591273657633674,0.2175,-2.6364836970049765e-05,-0.017952570590596063,0.011739658250529961,0.4725,0.003879680071867009,-0.0095687709350267,0.024201544736723365,0.6525
+ curated g_core,core3d_qc,catboost,0.5238287983118033,0.7602431317143894,0.2997636997176576,0.337603166674348,0.4277413242625576,0.5978293356726772,0.8832004685383305,-0.0037552012763216736,-0.014383980070182434,0.010669282448583447,0.315,0.008192854077242684,-0.0177805884144131,0.030782204886527886,0.715,-0.01507914328218063,-0.03271601993443732,-0.0049549419559872555,0.0075,-0.024097484786656964,-0.03962653988338792,-0.009011679424220067,0.01,0.007205346138677293,-0.010546875739656817,0.019546125766922284,0.7725
