extractant_name,n,bias,mae,sd_logD,error_share_from_offset,extractant_group
C5BTBP,250,1.1882837289854087,1.2970151737975026,1.180865227199662,0.045320547506436236,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC
2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,28,-2.9053580490089623,2.9053580490089628,0.3733895157778529,0.03034395547320445,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]
DMDO-HPyranDGA,72,-1.3656874440007991,1.4551186012732849,1.1045991237515416,0.017240504406885893,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1
DHD2DGA,215,-0.7071385321582145,0.7852093195931458,0.7961334333141652,0.013802644536884377,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC
TWE-24,6,-4.092850599618115,4.092850599618115,0.7500574573219447,0.01290380741271591,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC
mTDDGA,45,-1.4764683370561644,1.4764683370561649,0.7188879872944712,0.012594346220228082,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC
DBD1MHDGA,134,-0.6583904702218777,0.7422389457937407,0.849592744854936,0.00745738747353745,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC
N-N-dimethyl-N-N-diphenylpropanediamide,14,1.9765931841841975,1.9765931841841975,0.3396211140296656,0.00702226898512652,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1
DPiperidineDGA,14,1.8439137956620575,1.8439137956620577,0.03495680222757828,0.0061111662869934935,O=C(COCC(=O)N1CCCCC1)N1CCCCC1
2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,52,0.945403839722043,1.0240108609656935,1.3621135926422387,0.005966956964880032,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC
TEtOMeDGA,14,1.5895799765520533,1.5895799765520533,0.036411868612090906,0.004541587029566367,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC
T8-PHEN-CAM,35,0.9789275951311491,1.0167234508815635,0.8509201631304638,0.00430609914356707,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1
CyMe4-BTTP,11,1.7276375562676292,1.7276375562676292,0.4284083783045114,0.0042151476923851395,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21
CyMe4-BTPhen,6,-2.270510699613712,2.270510699613712,0.5939206167929916,0.003971121677733219,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21
2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,14,-1.4294094146934806,1.4294094146934806,0.8820314023923685,0.0036724521883806046,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1
TEHDGA,185,0.3862184395149421,1.0099920167280878,1.472751895062585,0.0035428484586465104,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC
DOODA (C12),202,0.3597792045760953,0.7577936030152197,0.7793978700937488,0.0033568993681479154,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC
DOODA (C8),70,0.6103828321500581,0.9682773179884259,0.9214123497941527,0.0033482470764876313,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC
TWE-29,6,2.0536111848272576,2.0536111848272576,1.3482675822247363,0.003248647056288533,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC
tMe2-TODGA,14,1.3192662445196217,1.3192662445196217,0.15770111159735403,0.0031282955359498263,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC
2-9-bis(diphenylphosphoryl)-1-10-phenanthroline,3,-2.6343809376924523,2.6343809376924523,0.4598309139376488,0.002672964823095707,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1
N-(4-butyldecyl)-2-[2-[4-butyldecyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,14,1.2128723126922814,1.2128723126922814,1.43968425321574,0.002644070545758826,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC
cPSNDGA,14,-1.1746158244390625,1.1746158244390625,0.6642719948264246,0.002479902284736527,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C
cMe2-TODGA,14,-1.1699854287167688,1.169985428716769,0.6051653271019531,0.0024603890182784876,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC
TBDGA,240,-0.2800772145233242,0.8843108204188825,0.9051996195691139,0.002417027752931002,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC
DMDetHDGA,14,-1.0829564291698115,1.0829564291698115,0.6465329191852247,0.002107972018998432,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC
DPDDdDGA,26,-0.783695030731044,0.8188036355316265,0.9154717696609261,0.0020501345858426356,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC
6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,28,-0.7539873889113758,1.309268140162041,1.4775528404047733,0.0020436241848402685,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O
2-(dibutylcarbamoyl)benzoic acid,3,-2.2719012424129192,2.2719012424129192,2.020303322463684,0.0019879936420220167,CCCCN(CCCC)C(=O)c1ccccc1C(=O)O
2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,14,1.0406048974295525,1.0406048974295525,0.15002223558208128,0.0019463216115016134,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1
TPrDGA,61,-0.48239256065012587,0.6847006272727364,1.5635057229778786,0.0018224091048443705,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC
10a,12,-1.0056264157726653,1.3536090472303546,2.3821862815944366,0.0015580070914461383,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC
DEDODGA,14,-0.8939917643610858,0.8939917643610858,0.9593549453080178,0.0014365141557404193,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC
2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,46,0.45821019221199466,0.9235304661300994,1.5853247473222642,0.0012399442540165398,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC
N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,14,-0.8157365694025239,1.26927626514239,1.2359021603901916,0.001196031831520326,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O
N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,14,0.7967736634885213,0.7967736634885213,0.31722026574866735,0.001141071386123365,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1
DBDDdDGA,22,0.6305601081239133,0.7880166390742427,2.752602936713738,0.0011230277895708618,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC
T8-PHEN-TAM,12,0.8415304108353948,1.0708181707840498,0.934822613637706,0.0010910275422745337,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1
DO-PyranDGA,3,1.5834171147960738,1.5834171147960738,0.45983091386080754,0.0009656656042142644,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1
2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,9,-0.9075587003732508,0.9075587003732508,0.2054801471847816,0.0009517147425507518,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC
DMDOaDGA,7,-0.9966890535520262,0.9966890535520262,1.1596057360677763,0.0008927549262915875,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C
EsPyTri,5,1.1687781523755267,1.1687781523755267,0.21384171420284284,0.000876897864339594,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1
N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,449,-0.11964173000578761,0.6959175070542142,1.2600197699610305,0.0008251379234617437,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC
N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,14,0.6690171638104154,0.6690171638104154,0.23576635089534967,0.0008044839678336664,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1
C2-PTA,14,-0.6524692836870838,0.6607750415763208,0.5642527910899748,0.0007651789539813889,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1
LL9,23,-0.48812659946320347,0.5320597275908412,1.111101040582853,0.0007035705020543844,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC
L1e,37,0.3843311268624464,0.44003980856709524,1.4175443834777006,0.0007016615538958925,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1
TEDGA,84,0.2537106695945981,0.6721383430302676,1.4280582792798997,0.0006941791852987299,CCN(CC)C(=O)COCC(=O)N(CC)CC
2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,8,-0.8204101214089874,0.8204101214089874,0.4634486620717067,0.000691300457895335,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O
