family,metal_lo,metal_hi,li_lo,d_index,anchor_offset_lo,anchor_offset_hi,rmsd_heavy,d_mean_md,d_radius,n_donor_lo,n_donor_hi,n_atoms
C1COCCOCCOCCOCCOCCO1||nitrate||9||1||3||nitrate,Ce,Pr,2,1,-1,0,0.03222514641131439,0.003715419952182053,-0.017000000000000126,10,10,50
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,Tb,Dy,9,1,-3,-2,0.010133971153617064,-0.007464745383078508,-0.013000000000000123,8,8,197
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,Dy,Ho,10,1,-2,-1,0.023282880418433346,-0.009662087099671535,-0.01200000000000001,8,8,197
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,Ho,Er,11,1,-1,0,0.0102203594445183,-0.007789587067823955,-0.010999999999999899,8,8,197
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,Er,Tm,12,1,0,1,0.012466727958256544,-0.009038674664323842,-0.010000000000000009,8,8,197
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,Tm,Yb,13,1,1,2,0.013616407730217968,-0.01238880833153555,-0.009000000000000008,8,8,197
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||8||2||2||water,Yb,Lu,14,1,2,3,0.01517308865291501,-0.0034196997276110253,-0.008000000000000007,8,8,197
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||9||3||0||water,La,Ce,1,1,-3,-2,0.042994132899732175,-0.014766155577978779,-0.016999999999999904,9,9,286
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||9||3||0||water,Ce,Pr,2,1,-2,-1,0.01284173129245691,-0.007585102898317153,-0.017000000000000126,9,9,286
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||9||3||0||water,Pr,Nd,3,1,-1,0,0.0011189674265587994,-0.0013205599687498015,-0.016999999999999904,9,9,286
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||9||3||0||water,Sm,Eu,6,1,2,3,0.00854668598967673,-0.0014044038999068142,-0.0129999999999999,9,9,286
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water||9||3||0||water,Eu,Gd,7,1,3,4,0.006830273248687446,-0.003264930989444359,-0.013000000000000123,9,9,286
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,Ce,Pr,2,1,-2,-1,0.018614235172030508,-0.00441513392349302,-0.017000000000000126,9,9,284
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,Pr,Nd,3,1,-1,0,0.03714814270661144,-0.0019363492956854245,-0.016999999999999904,9,9,284
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate||9||4||1||nitrate,Sm,Eu,6,1,2,3,0.005091301172327945,-0.0020244978422834237,-0.0129999999999999,9,9,284
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate||9||3||0||nitrate,Sm,Eu,6,1,0,1,0.0052951057070863335,-0.002433665272200791,-0.0129999999999999,9,9,196
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate||9||3||0||nitrate,Eu,Gd,7,1,1,2,0.011603817297798488,-0.0032310916826658875,-0.013000000000000123,9,9,196
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21||nitrate||8||1||0||nitrate,Dy,Ho,10,1,0,1,0.005171832921137125,-0.003925827107045254,-0.01200000000000001,12,12,87
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21||nitrate||9||1||1||nitrate,La,Ce,1,1,-2,-1,0.19419304760457123,-0.06631462517743758,-0.016999999999999904,12,12,87
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21||nitrate||9||1||1||nitrate,Ce,Pr,2,1,-1,0,0.01609787581490658,0.01364473972904312,-0.017000000000000126,12,12,87
