l_lo,pair,n,dy_mean,dy_sd,d_radius,dy_sem
1,La-Ce,97,-0.21781944496233968,0.2697803452371462,0.016999999999999904,0.027392043896496025
2,Ce-Pr,92,-0.13798238180298025,0.29818740768020474,0.017000000000000126,0.031088186295817985
3,Pr-Nd,97,-0.05234517195586762,0.2929724205658156,0.016999999999999904,0.029746842371141474
6,Sm-Eu,88,-0.09925192561901407,0.3642568473832402,0.0129999999999999,0.03882991039977154
7,Eu-Gd,108,0.06194601153035505,0.3075247783475136,0.013000000000000123,0.029591585593569496
8,Gd-Tb,76,-0.2126997961716218,0.2605390963687894,0.0129999999999999,0.029885883997709417
9,Tb-Dy,60,-0.051825491205568,0.17500023509393198,0.013000000000000123,0.02259243320337271
10,Dy-Ho,65,-0.04036591086606055,0.1520354182207952,0.01200000000000001,0.01885767274717564
11,Ho-Er,72,-0.031266398926921,0.1241125856739996,0.010999999999999899,0.014626808493446913
12,Er-Tm,59,-0.018224371431658202,0.21434952614992067,0.010000000000000009,0.027905931378713802
13,Tm-Yb,44,0.02305000378565515,0.1825934391645936,0.009000000000000008,0.027526996676797352
14,Yb-Lu,47,-0.006881340340789724,0.1239058934407136,0.008000000000000007,0.01807353209326872
