column,coverage,mean,sd
spec__n_acidic_groups,1.0,0.003160556312650442,0.08075782656669617
spec__n_neutral_donor_groups,1.0,0.966708779335022,0.45319023728370667
spec__is_cation_exchanger,1.0,0.0016856299480423331,0.04102180898189545
spec__is_solvating,1.0,0.998314380645752,0.04102180898189545
spec__dentate,1.0,3.4572272300720215,1.294565200805664
spec__charge_left_for_anion,1.0,2.9968395233154297,0.08075781911611557
spec__nitrate_available,1.0,0.7827644348144531,0.41236424446105957
spec__acidconc_x_cation_exchanger,0.9976822587442057,0.0025765574537217617,0.07958254963159561
spec__acidconc_x_solvating,0.9976822587442057,1.9681931734085083,1.6051326990127563
spec__nitrate_x_solvating,1.0,0.7810788154602051,0.4135150611400604
