cell,axis,n_seeds,tune_adj_binned,gain_vs_A0,tune_adj_strict,tune_r2_overall
A0,(anchor),4,0.236240159394839,0.0,0.1369493290184134,0.4742941368830119
A1,angular information,4,-0.08046033068585556,-0.31670049008069456,-0.10577917466944342,0.37220492458211596
A2,angular information,4,0.21291354018245812,-0.023326619212380884,0.12225721038470139,0.42849563128359114
A3,angular information,4,0.21013050258372168,-0.02610965681111732,0.11205838731888773,0.5098768730583583
B1,auxiliary target,4,0.2283056623780434,-0.007934497016795605,0.14362707174200107,0.47079537481049927
B2,auxiliary target,4,0.23604172145084024,-0.0001984379439987638,0.1416535742546774,0.5034572233913592
B3,auxiliary target,4,0.24107904190924312,0.004838882514404119,0.19736227753018065,0.5082198885877196
C1,readout / optimisation,4,0.2538895282643657,0.017649368869526727,0.15227215120005233,0.43820175048506127
C2,readout / optimisation,4,0.21073124059407455,-0.025508918800764446,0.09932150244037552,0.49282470094059017
C3,readout / optimisation,3,0.19663682771966684,-0.03960333167517216,0.15121036266395538,0.4921704890795824
