arm,n_rows,r2_overall,r2_between,r2_between_unweighted,r2_within,within_var_frac,r2_per_extractant_weighted,r2_per_extractant_median,frac_extractants_beat_mean,within_pearson,within_spearman,rmse,mae,medae,spearman,pearson,r2_within_composition,sel_n_blocks,sel_spearman_mean,sel_spearman_median,sel_kendall_mean,sel_logSF_mae,sel_logSF_r2,sel_sign_accuracy,sel_n_pairs,sel_adj_n_pairs,sel_adj_logSF_r2,sel_adj_logSF_mae,sel_adj_sign_accuracy,sel_adj_true_sd,sel_adj_pearson,r2_per_metal_mean,r2_per_metal_min
baseline::catboost::none,4746,0.4986513470594569,0.7336408039234957,0.7389537932465766,0.2926667170102121,0.532887223621031,-13.055905807546633,0.06408521339016193,0.5256410256410257,0.5460534607938841,0.5617894523939024,1.1546138550905005,0.8825789248996572,0.7122924578256395,0.6734507237915891,0.7067549810985401,0.35814410730898716,171.0,0.592474497131055,0.8439393939393939,0.5388770479454192,0.38158176889353496,0.5310175457864355,0.7718332022029898,6355.0,905.0,0.14217318808560242,0.15710139288627661,0.6696132596685083,0.270544598824064,0.4290380105304067,0.4325845630717335,0.25173812968159404
baseline::catboost::group_inv,4746,0.49172065713406776,0.7265295749916612,0.7483362344176738,0.28589428210165835,0.532887223621031,-14.5280484176532,0.04012283997161231,0.5128205128205128,0.5405178086880766,0.5623174734053171,1.1625672065745243,0.8879743113463677,0.7327317034435823,0.6708671716218244,0.7012527155159974,0.35535691470171116,171.0,0.6215180560645456,0.9056850897212666,0.5732644756509772,0.3792823919601323,0.5538610363491738,0.7803304484657749,6355.0,905.0,0.10678583542358056,0.15905119648856825,0.6883977900552486,0.270544598824064,0.4033128270386865,0.428429074450387,0.2636959028738348
baseline::mlp::none,4746,0.3872030369964423,0.5809438114018161,0.6363037137889529,0.2173757508112798,0.532887223621031,-13.366595419815885,-0.06532910751305598,0.44871794871794873,0.4925442333556513,0.5018051578986115,1.2765127018349143,0.9978984976597611,0.8288096888206731,0.616198451310974,0.6515494203902649,0.37819498743278257,171.0,0.5585747207369265,0.8496503496503498,0.5135488106173742,0.41893703668994686,0.49049981258422426,0.7702596380802518,6355.0,905.0,0.00477010436906633,0.1737779752765817,0.6839779005524862,0.270544598824064,0.434519743493664,0.28290219671269873,0.12458271053450187
baseline::mlp::group_inv,4746,0.3872030369964423,0.5809438114018161,0.6363037137889529,0.2173757508112798,0.532887223621031,-13.366595419815885,-0.06532910751305598,0.44871794871794873,0.4925442333556513,0.5018051578986115,1.2765127018349143,0.9978984976597611,0.8288096888206731,0.616198451310974,0.6515494203902649,0.37819498743278257,171.0,0.5585747207369265,0.8496503496503498,0.5135488106173742,0.41893703668994686,0.49049981258422426,0.7702596380802518,6355.0,905.0,0.00477010436906633,0.1737779752765817,0.6839779005524862,0.270544598824064,0.434519743493664,0.28290219671269873,0.12458271053450187
snn_hybrid_snn_baseline_2d_f3.5_h1,4746,0.37405206552209125,0.5566810602780548,0.6091092431661858,0.2139650283285962,0.532887223621031,-10.077613508282077,-0.180903654495426,0.3717948717948718,0.4701243251965222,0.5041654442826864,1.2901373361867923,1.0020213173303965,0.8348994188744645,0.599445934573248,0.6269501117456207,0.319447606977562,171.0,0.5723883760924837,0.7999999999999999,0.5005288136241586,0.39724507065702347,0.4986276980631875,0.7408339889850512,6355.0,905.0,-0.1468746262569145,0.18699717264117977,0.5988950276243094,0.270544598824064,0.22081442441481,0.2813228379627582,0.01864528923985842
snn_allatom_snn_baseline_2d_f3.0_h0,4746,0.3722700870717256,0.5926649441395898,0.6000009149411031,0.17907864051186262,0.532887223621031,-9.544672469754454,-0.2743359343026821,0.34615384615384615,0.4252892940410827,0.4609237972503982,1.2919724433146509,1.020214743714727,0.8775057561232573,0.5884335414491677,0.6111190405791903,0.2789179442737615,171.0,0.5384180403706003,0.7333333333333334,0.4628987571778678,0.4318759870111976,0.43398997905609615,0.7243115656963022,6355.0,905.0,-0.3272723150309085,0.20701196171460992,0.5900552486187846,0.270544598824064,0.08604004438487388,0.30224330171810176,0.1456495262617885
snn_wide_snn_baseline_2d_f3.5_h1,4746,0.36790989731290824,0.5278159877300069,0.6066188492371718,0.22774106881842526,0.532887223621031,-10.55671924858696,-0.17721090342955015,0.3717948717948718,0.4784542750638002,0.5113224292039327,1.296451676059729,1.0039143093947978,0.837212311437177,0.5879178814045072,0.6183512550147406,0.33905274500544913,171.0,0.6038934580123311,0.8285714285714287,0.5377105157787343,0.3989638174926604,0.49510537812925837,0.7520062942564909,6355.0,905.0,0.11814236489878016,0.1688345816652228,0.63646408839779,0.270544598824064,0.38404639368352433,0.2720371407124279,0.031399917330402816
snn_filt5_snn_baseline_2d_f5.0_h1,4746,0.3524947013869988,0.5149161560545847,0.6017613742346997,0.21012098088803977,0.532887223621031,-10.130720962851296,-0.32589325994922236,0.358974358974359,0.46298081748158854,0.497270255383254,1.312165158090209,1.0205969960227856,0.849159091123634,0.5828101821983781,0.6082574423704344,0.31558033856330125,171.0,0.5613709365773156,0.7999999999999999,0.4816365847575653,0.39627852242174055,0.5167035811169153,0.7400472069236821,6355.0,905.0,-0.06862876135648621,0.18340623153970986,0.5867403314917127,0.270544598824064,0.2395912041675928,0.2505449626790283,-0.0027613836505027134
snn_pretrain_snn_baseline_2d_f3.5_h1,4746,0.3370848823406295,0.49927886562847834,0.6070404798454165,0.19491055635335275,0.532887223621031,-8.998716249656479,-0.25975052985240166,0.358974358974359,0.44726078930046387,0.4868738065566652,1.3276872968534557,1.0309423201603631,0.8711586882194581,0.5830354497456378,0.5985516182673711,0.29500069819338615,171.0,0.5682485599322007,0.8198051948051949,0.5051795556943975,0.4183629228928115,0.4459291859639495,0.7343823760818253,6355.0,905.0,-0.21269934508634458,0.1881487877282568,0.5878453038674033,0.270544598824064,0.16762229308468435,0.23570957178308996,-0.024592577542500882
pi_hybrid_picnn_baseline_2d_f3.5_h1,4742,0.33277946709650086,0.4777926271736752,0.6460104256752723,0.20617094922207868,0.5338791850885183,-9.704532758453029,-0.21915146767382487,0.38461538461538464,0.45604713036514943,0.4685239837348261,1.3310552545698253,1.0346268726277228,0.8461551397443385,0.5708793270124852,0.5926053822118267,0.3065170122950899,170.0,0.5191146788523924,0.8285714285714287,0.4782320419899355,0.4185158157052192,0.44679537451659723,0.7301637279596978,6352.0,904.0,0.1562979227564365,0.15520404540690397,0.6692477876106194,0.2698898277466639,0.4112679340510868,0.2146418798994394,-0.010367345062240796
snn_topoonly_snn_baseline_2d_f3.5_h1,4746,0.24299642866333404,0.4821254482856161,0.30079503728987445,0.03338318346385427,0.532887223621031,-9.727004586945291,-0.5790288917926157,0.10256410256410256,0.20057791587481388,0.16443288712160833,1.4187824333751138,1.1296452815267157,0.990237076546992,0.3539981317674238,0.4956693691144259,0.08708424122525726,171.0,0.30098048140998074,0.445563808364715,0.24270633004760503,0.5999665944317196,0.03011033641513916,0.581117230527144,6355.0,905.0,-1.7030103362145748,0.31596954737540234,0.5204419889502763,0.270544598824064,-0.018735923012644984,0.16251975826518597,-0.04482423788141765
pi_topoonly_picnn_baseline_2d_f3.5_h1,4742,0.20509369005332334,0.48509495486505627,0.18483945630058007,-0.03937064078334518,0.5338791850885183,-5.514200089751661,-0.8097791050310298,0.11538461538461539,-0.0007821465139565034,-0.010000013159362919,1.452845240754401,1.1534576307513207,1.0001753116547176,0.23358978090954524,0.4532277723385199,-0.037595280828045974,170.0,0.10653972174512386,0.09523809523809526,0.08830509232264354,0.6917205214028423,-0.3729428550216871,0.5261335012594458,6352.0,904.0,-1.5588437156415815,0.31088836174456125,0.5254424778761062,0.2698898277466639,-0.052118731311020565,0.17787507295436278,-0.01939021694347609
