arm,baseline,metric,delta,lo,hi,p_better
pi_hybrid_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_overall,-0.054775915965427746,-0.12762770704054782,0.007740190983698985,0.08
pi_hybrid_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_between,-0.10474315246970856,-0.21816923626664533,0.009922280576042887,0.075
pi_hybrid_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_within,-0.011150373616576448,-0.1208698533992052,0.05410972160799616,0.37
pi_hybrid_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_within_composition,-0.07180287483359893,-0.14844976573600546,-0.02998771493405587,0.0
pi_hybrid_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,mae,0.037813726882400256,-0.007001746666568052,0.11954487694251854,0.88
pi_topoonly_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_overall,-0.18246169300860526,-0.3378256047840078,-0.09923776569113782,0.0
pi_topoonly_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_between,-0.09744082477832594,-0.30755522922144707,0.08012556246028389,0.135
pi_topoonly_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_within,-0.2566919636220004,-0.3730008619511421,-0.18986214500053808,0.0
pi_topoonly_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_within_composition,-0.4159151679567348,-0.4564716598229642,-0.3466222020847482,0.0
pi_topoonly_picnn_baseline_2d_f3.5_h1,baseline::mlp::none,mae,0.15664448500599815,0.09244392583204165,0.2856981433043423,1.0
snn_allatom_snn_baseline_2d_f3.0_h0,baseline::mlp::none,r2_overall,-0.01493294992471672,-0.1223019905538432,0.06419810500992035,0.43
snn_allatom_snn_baseline_2d_f3.0_h0,baseline::mlp::none,r2_between,0.011721132737772866,-0.11768994234329382,0.22455795376624005,0.59
snn_allatom_snn_baseline_2d_f3.0_h0,baseline::mlp::none,r2_within,-0.03829711029941707,-0.13616179528889383,0.008353974968186163,0.11
snn_allatom_snn_baseline_2d_f3.0_h0,baseline::mlp::none,r2_within_composition,-0.09927704315902108,-0.116848327979892,-0.06814421518258573,0.0
snn_allatom_snn_baseline_2d_f3.0_h0,baseline::mlp::none,mae,0.02231624605496596,-0.025849936498393122,0.122570754942147,0.725
snn_filt5_snn_baseline_2d_f5.0_h1,baseline::mlp::none,r2_overall,-0.03470833560944353,-0.11412600279595574,0.024594407906182694,0.195
snn_filt5_snn_baseline_2d_f5.0_h1,baseline::mlp::none,r2_between,-0.0660276553472321,-0.15902563745623857,0.08686210943133048,0.205
snn_filt5_snn_baseline_2d_f5.0_h1,baseline::mlp::none,r2_within,-0.007254769923239812,-0.10105639644386769,0.04076710035646189,0.435
snn_filt5_snn_baseline_2d_f5.0_h1,baseline::mlp::none,r2_within_composition,-0.0626146488694812,-0.08666523639818656,-0.040717820184076506,0.0
snn_filt5_snn_baseline_2d_f5.0_h1,baseline::mlp::none,mae,0.02269849836302451,-0.020798056682354203,0.10235867692701647,0.76
snn_hybrid_snn_baseline_2d_f3.5_h1,baseline::mlp::none,r2_overall,-0.01315097147435107,-0.07846498852330765,0.020118055309032774,0.305
