metal_dir,file_stem,xyz_path,mol2_path,has_mol2,file_size_xyz,file_size_mol2,metal_symbol,atomic_number,oxidation_state,coreCN,n_ligs,inner_sphere_anion,geometry_hash,parsed_name_ok
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.mol2,True,9282,6078,Ce,58,3,9,1,nitrate,0453c5e4f135,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.mol2,True,9594,6294,Ce,58,3,9,1,nitrate,1c8d038cf561,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.mol2,True,6631,4403,Ce,58,3,9,1,nitrate,1deb3f946bab,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179.mol2,True,18643,11982,Ce,58,3,9,1,nitrate,23bc11341179,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe.mol2,True,11153,7364,Ce,58,3,9,1,nitrate,436f63f21bbe,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.mol2,True,13025,8483,Ce,58,3,9,1,nitrate,4de900a55128,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.mol2,True,8035,5286,Ce,58,3,9,1,nitrate,6774552a35e9,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2.mol2,True,15520,9971,Ce,58,3,9,1,nitrate,70e091c4e6a2,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2.mol2,True,10531,6870,Ce,58,3,9,1,nitrate,9fa96db16fe2,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.mol2,True,11154,7230,Ce,58,3,9,1,nitrate,aa83667df077,True
Ce,Ce_Z58_ox3_CN9_nlig1_nitrate_e8a79da64745,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_e8a79da64745.xyz,data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_e8a79da64745.mol2,True,8033,5262,Ce,58,3,9,1,nitrate,e8a79da64745,True
