LIGAND_SMILES
"O=C(CCl)NC1=CC=C(C=C1C)Br, CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1"
"O=C(CCl)NC1=CC=C(C=C1C)Br, CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1"
"CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1, O=C(CCl)NC1=CC=C(C=C1C)Br"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C"
"CCCCCCCCC(Br)C(=O)O, c1cc(-n2cccn2)nc(-n2cccn2)c1"
"c1cc(-n2cccn2)nc(-n2cccn2)c1, CCCCCCCCC(Br)C(=O)O"
"Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1, CCCCCCCCC(Br)C(=O)O"
"c1cc(-n2cccn2)nc(-n2cccn2)c1, CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1"
"c1cc(-n2cccn2)nc(-n2cccn2)c1, CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1"
"Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1, CCCCCCCCC(Br)C(=O)O"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(C)C(=O)C(CCCCCC)(C(=O)N(C)CCCCCCCC)OCC"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC, O=P(O)(O)c1ccccn1"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC, O=P(O)(O)c1cccc(P(=O)(O)O)n1"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCOP(=O)(OCCCC)OCCCC"
"CCCCC(Br)C(=O)O, CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21"
"CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC"
"CCCCCCCCC(Br)C(=O)O, CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC, O=C(COCC(=O)N(CCO)CCO)N(CCO)CCO"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC, O=C(COCC(=O)N(CCOCCO)CCOCCO)N(CCOCCO)CCOCCO"
"CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC, O=C(COCC(=O)N(CCOCCOCCO)CCOCCOCCO)N(CCOCCOCCO)CCOCCOCCO"
