build_id,geometry_key,geometry_source,xyz_path,n_atoms,xtb_properties_available,xtb_provenance,complex_pi_eligible
b977d7df5bfe,58|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b977d7df5bfe_attempt01_standard.xyz,87,True,extxyz_xtb_properties_present,True
b0f064433a85,58|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b0f064433a85_attempt01_standard.xyz,103,True,extxyz_xtb_properties_present,True
b71ea25cd505,63|CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt02_large_ligand_fast.xyz,77,True,extxyz_xtb_properties_present,True
4c679e68d502,63|Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_4c679e68d502_attempt01_standard.xyz,93,True,extxyz_xtb_properties_present,True
d22ea5b4507c,63|CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_d22ea5b4507c_attempt01_standard.xyz,111,True,extxyz_xtb_properties_present,True
cf2925f73b64,63|CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_cf2925f73b64_attempt01_standard.xyz,83,True,extxyz_xtb_properties_present,True
86854fe552dc,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_86854fe552dc_attempt01_standard.xyz,77,True,extxyz_xtb_properties_present,True
a1b1948ac9a0,64|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_a1b1948ac9a0_attempt01_standard.xyz,103,True,extxyz_xtb_properties_present,True
381edbfc03cf,64|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_381edbfc03cf_attempt01_standard.xyz,87,True,extxyz_xtb_properties_present,True
772af3795c1b,57|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/La/La_Z57_ox3_CN8_nlig1_nitrate_772af3795c1b_attempt02_large_ligand_fast.xyz,103,True,extxyz_xtb_properties_present,True
67cc941de9cc,57|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/La/La_Z57_ox3_CN8_nlig1_nitrate_67cc941de9cc_attempt01_standard.xyz,87,True,extxyz_xtb_properties_present,True
bcb0a0d8f7c2,60|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,reports/family_regeneration_runs/adaptive_cn_fill/regenerated_fail_long_bond_accepted.csv,/Users/lilshadix/PycharmProjects/lanthanide_dataset_builder/data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Nd/Nd_Z60_ox3_CN8_nlig1_nitrate_bcb0a0d8f7c2_attempt01_standard.xyz,87,True,extxyz_xtb_properties_present,True
