build_id,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,required_outputs,calculation_status,binding_energy_definition
b977d7df5bfe,Ce,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b977d7df5bfe_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
b0f064433a85,Ce,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Ce/Ce_Z58_ox3_CN8_nlig1_nitrate_b0f064433a85_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
b71ea25cd505,Eu,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_b71ea25cd505_attempt02_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
4c679e68d502,Eu,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_4c679e68d502_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
d22ea5b4507c,Eu,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_d22ea5b4507c_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
cf2925f73b64,Eu,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_cf2925f73b64_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
86854fe552dc,Eu,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Eu/Eu_Z63_ox3_CN8_nlig1_nitrate_86854fe552dc_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
a1b1948ac9a0,Gd,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_a1b1948ac9a0_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
381edbfc03cf,Gd,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/Gd/Gd_Z64_ox3_CN8_nlig1_nitrate_381edbfc03cf_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
772af3795c1b,La,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/adaptive_cn_fill/accepted/La/La_Z57_ox3_CN8_nlig1_nitrate_772af3795c1b_attempt02_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
