build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override
0453c5e4f135,,58,Ce,3,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,"[6, 9, 12, 19, 22, 25]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_0453c5e4f135.mol2,,,existing_ok,recovered_from_disk,accepted,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,False,
1c8d038cf561,,58,Ce,3,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,"[3, 7, 14, 17, 20, 27]","[""N(aromatic)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1c8d038cf561.mol2,,,existing_ok,recovered_from_disk,accepted,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,False,
1deb3f946bab,,58,Ce,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]","[""O(ester_carbonyl)"", ""O(hydroxyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(hydroxyl)"", ""O(ester_carbonyl)""]",8,9,1,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_1deb3f946bab.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,False,
23bc11341179,,58,Ce,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]","[""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_23bc11341179.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,False,
436f63f21bbe,,58,Ce,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",7,9,1,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_436f63f21bbe.mol2,,,existing_ok,recovered_from_disk,accepted,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,False,
4de900a55128,,58,Ce,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",8,9,1,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.mol2,,,existing_ok,recovered_from_disk,accepted,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,False,
6774552a35e9,,58,Ce,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]","[""O(ester_carbonyl)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(hydroxyl)""]",8,9,1,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.mol2,,,existing_ok,recovered_from_disk,accepted,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,False,
70e091c4e6a2,,58,Ce,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",8,9,1,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_70e091c4e6a2.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,False,
9fa96db16fe2,,58,Ce,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",7,9,1,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2.mol2,,,existing_ok,recovered_from_disk,accepted,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,False,
aa83667df077,,58,Ce,3,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,"[4, 7, 10, 17, 20, 23]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_aa83667df077.mol2,,,existing_ok,recovered_from_disk,accepted,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,False,
