build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,canonical_smiles,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,geometry_key,rows_covered,condition_variant_count,condition_environment_examples,acid_concentration_M_min,acid_concentration_M_max,temperature_C_min,temperature_C_max,geometry_status,geometry_note,xyz_path,mol2_path,sdf_path
a3e671494b96,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,14,8,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,0.0981595,6.0,25.0,25.0,planned,ok,,,
4db10fb36c20,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,water,water,0,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|water,1,1,acid_class=nitrate|acid_strength_bin=missing|nitrate_activity=missing|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,,,25.0,25.0,planned,ok,,,
8891c25d4c67,,58,Ce,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,58|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_5x_nitrate,,,
4ca0b6f30178,,66,Dy,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,8,2,nitrate,nitrate,0,66|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_4x_nitrate,,,
32c5ca2ccd68,,68,Er,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,8,2,nitrate,nitrate,0,68|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_4x_nitrate,,,
f3f070427c1f,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,11,7,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing;acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,0.10017,4.139,22.0,25.0,planned,fill_5x_nitrate,,,
bd11f8c14383,,64,Gd,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,64|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_5x_nitrate,,,
b72884625baf,,67,Ho,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,8,2,nitrate,nitrate,0,67|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_4x_nitrate,,,
033b4c93146d,,57,La,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,9,2,nitrate,nitrate,1,57|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_5x_nitrate,,,
a5b6774306ad,,71,Lu,3,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",4,8,2,nitrate,nitrate,0,71|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,1,1,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,1.0,1.0,25.0,25.0,planned,fill_4x_nitrate,,,
