exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2148,TODGA,0.1 M,HNO3,1.9786 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:50:59,Distribution Ratio,41.8954,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2149,TODGA,0.1 M,HNO3,1.0037 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:51:01,Distribution Ratio,5.3451,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2150,TODGA,0.1 M,HNO3,0.4981 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:51:01,Distribution Ratio,0.4105,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2151,TODGA,0.1 M,HNO3,0.2008 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:51:01,Distribution Ratio,0.0516,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2152,TODGA,0.1 M,HNO3,0.1007 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:51:01,Distribution Ratio,0.0223,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2153,TODGA,0.1 M,HNO3,0.0302 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:51:01,Distribution Ratio,0.0074,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2154,TODGA,0.1 M,HNO3,0.0102 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:51:01,Distribution Ratio,0.0047,-,Temperature,27.0,C,- -,,,Comments,fig6 nan nan extraction:nan,,,,
2161,TODGA,0.1 M,HNO3,0.1003 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:51:03,Distribution Ratio,0.0130898745339406,-,Temperature,25.0,C,- -,,,Comments,fig3 nan 0.0 extraction:nan,,,,
2162,TODGA,0.1 M,HNO3,3 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,292.230678528231,-,Temperature,25.0,C,- -,,,Comments,fig3 nan 0.0 extraction:nan,,,,
2163,TODGA,0.1 M,HNO3,0.5017 M,n-Dodecane,Am, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Am, n-Dodecane",,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,0.79654382903712,-,Temperature,25.0,C,- -,,,Comments,fig3 nan 0.0 extraction:nan,,,,
