exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2472,TODGA,0.1 M,HNO3,2.8202 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:25,Distribution Ratio,0.0415,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2473,TODGA,0.1 M,HNO3,1.9842 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:26,Distribution Ratio,0.0456,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2474,TODGA,0.1 M,HNO3,1.034 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:26,Distribution Ratio,0.0102,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2475,TODGA,0.1 M,HNO3,0.4738 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:26,Distribution Ratio,0.0013,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2476,TODGA,0.1 M,HNO3,0.3194 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:26,Distribution Ratio,0.0007,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2477,TODGA,0.1 M,HNO3,0.1877 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:26,Distribution Ratio,0.0003,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2479,TODGA,0.1 M,HNO3,0.0905 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:26,Distribution Ratio,0.0003,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
2498,TODGA,0.495 M,HNO3,2.9 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:27,Distribution Ratio,0.5655,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2499,TODGA,0.2998 M,HNO3,2.9 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:27,Distribution Ratio,0.3038,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2500,TODGA,0.2005 M,HNO3,2.9 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:27,Distribution Ratio,0.1543,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2501,TODGA,0.1048 M,HNO3,2.9 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:27,Distribution Ratio,0.0427,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2502,TODGA,0.0542 M,HNO3,2.9 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:27,Distribution Ratio,0.0108,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2503,TODGA,0.0202 M,HNO3,2.9 M,n-Dodecane,Ba,II ,1.46 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI: 10.1081/SEI-120024552,Aurora Clark,2024-12-16 21:51:27,Distribution Ratio,0.0014,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2638,TODGA,0.1071 M,HNO3,3 M,n-Dodecane,Ba, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,0.0404,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
2639,TODGA,0.1957 M,HNO3,3 M,n-Dodecane,Ba, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,0.1438,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
2640,TODGA,0.2994 M,HNO3,3 M,n-Dodecane,Ba, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,0.2541,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
2641,TODGA,0.4771 M,HNO3,3 M,n-Dodecane,Ba, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,0.5466,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
2665,TODGA,0.0525 M,HNO3,3 M,n-Dodecane,Ba, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,0.0109,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
2666,TODGA,0.0201 M,HNO3,3 M,n-Dodecane,Ba, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,0.0013,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
3614,TEHDGA,0.2 M,HNO3,4 M,n-Dodecane,Ba, ,2.73071 mM,isodecyl,2.12 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Ba, isodecyl, n-Dodecane",,n-Dodecane,,doi.org/10.1299/jsmeicone.2007.15._ICONE1510_87,Aurora Clark,2024-12-16 21:53:03,Distribution Ratio,0.0016,-,Temperature,25.0,C,- -,,,Comments,table1 raffinate nan extraction:nan,,,,
3994,DBBA,0.5 M,HNO3,3.5 M,toluene,U,VI ,50 mM,,,,,CCCCN(CCCC)C(=O)CCC,-,"HNO3, DBBA, U, toluene",,toluene,,https://doi.org/10.1081/SEI-100103812,Aurora Clark,2024-12-16 21:53:33,Distribution Ratio,2.23,-,Temperature,25.0,C,- -,,,Comments,nan nan nan extraction:nan,,,,
4045,TEHDGA,0.1 M,HNO3,2 M,benzene,Ba,II , ,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Ba, benzene",,benzene,,DOI: 10.1080/07366290601169352,Aurora Clark,2024-12-16 21:53:36,Distribution Ratio,0.21,-,Temperature,25.0,C,- -,30.0 min,,Comments,Table 2 nan nan extraction:nan,,,,
4053,THDGA,0.1 M,HNO3,2 M,benzene,Ba,II , ,,,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, Ba, benzene",,benzene,,DOI: 10.1080/07366290601169352,Aurora Clark,2024-12-16 21:53:36,Distribution Ratio,0.12,-,Temperature,25.0,C,- -,30.0 min,,Comments,Table 2 nan nan extraction:nan,,,,
4061,TBDGA,0.1 M,HNO3,2 M,benzene,Ba,II , ,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, Ba, benzene",,benzene,,DOI: 10.1080/07366290601169352,Aurora Clark,2024-12-16 21:53:37,Distribution Ratio,0.23,-,Temperature,25.0,C,- -,30.0 min,,Comments,Table 2 nan nan extraction:nan,,,,
4073,TODGA,0.15 M,HNO3,0.4842 M,benzene,Ba,II , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ba, benzene",,benzene,,DOI: 10.1080/07366290601169352,Aurora Clark,2024-12-16 21:53:37,Distribution Ratio,0.01,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig4 nan nan extraction:nan,,,,
