exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2621,TODGA,0.0021 M,HNO3,3 M,n-Dodecane,Bi, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:40,Distribution Ratio,0.3465,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig13 nan 0.0 extraction:nan,,,,
2622,TODGA,0.005 M,HNO3,3 M,n-Dodecane,Bi, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:40,Distribution Ratio,1.2226,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig13 nan 0.0 extraction:nan,,,,
2623,TODGA,0.0097 M,HNO3,3 M,n-Dodecane,Bi, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:41,Distribution Ratio,4.2363,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig13 nan 0.0 extraction:nan,,,,
2624,TODGA,0.0206 M,HNO3,3 M,n-Dodecane,Bi, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:41,Distribution Ratio,45.5754,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig13 nan 0.0 extraction:nan,,,,
2914,TODGA,0.001 M,HNO3,2.9 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:02,Distribution Ratio,0.1811,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2946,TODGA,0.002 M,HNO3,2.9 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:04,Distribution Ratio,0.3759,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2947,TODGA,0.0049 M,HNO3,2.9 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:04,Distribution Ratio,1.4407,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2948,TODGA,0.0067 M,HNO3,2.9 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:04,Distribution Ratio,2.5094,-,Temperature,25.0,C,- -,31.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2949,TODGA,0.0099 M,HNO3,2.9 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:04,Distribution Ratio,4.0044,-,Temperature,25.0,C,- -,32.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3174,MIDOA,0.2708 M,HNO3,3 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, MIDOA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:21,Distribution Ratio,8.4376,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2f nan nan extraction:nan,,,,
3175,MIDOA,0.209 M,HNO3,3 M,n-Dodecane,Bi,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, MIDOA, Bi, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:21,Distribution Ratio,6.2412,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2f nan nan extraction:nan,,,,
