exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1,TODGA,0.1 M,HNO3,0.503524 M,n-Dodecane,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, n-Dodecane",0.00399622 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:34:37,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
2,TODGA,0.1 M,HNO3,0.697324 M,n-Dodecane,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, n-Dodecane",0.00962774 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:34:37,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
3,TODGA,0.1 M,HNO3,1.0117 M,n-Dodecane,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, n-Dodecane",0.0227459 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:34:37,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
4,TODGA,0.1 M,HNO3,1.70735 M,n-Dodecane,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, n-Dodecane",0.0465038 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:34:37,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
5,TODGA,0.1 M,HNO3,2.98365 M,n-Dodecane,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, n-Dodecane",0.095315 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:34:37,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
6,D3DODGA,0.201 M,HNO3,1 M,n-Dodecane,,,,,,,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, D3DODGA, n-Dodecane",0.019 M,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:34:37,,,,Temperature,25.0,C,- -,,,Comments,fig2 nan nan extraction:nan,,,,
7,D3DODGA,0.1 M,HNO3,1 M,n-Dodecane,,,,,,,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, D3DODGA, n-Dodecane",0.011 M,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:34:38,,,,Temperature,25.0,C,- -,,,Comments,fig2 nan nan extraction:nan,,,,
8,D3DODGA,0.05 M,HNO3,1 M,n-Dodecane,,,,,,,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, D3DODGA, n-Dodecane",0.008 M,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:34:38,,,,Temperature,25.0,C,- -,,,Comments,fig2 nan nan extraction:nan,,,,
9,TODGA,0.1 M,HNO3,6 M,n-Dodecane,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, n-Dodecane",0.18 M,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:34:38,,,,Temperature,25.0,C,- -,,,Comments,Table 3 nan 0.0 extraction:nan,,,,
10,D3DODGA,0.252 M,HNO3,1 M,n-Dodecane,,,,,,,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, D3DODGA, n-Dodecane",0.025 M,n-Dodecane,,10.1007/s10967-012-1905-9,Aurora Clark,2024-12-16 21:34:38,,,,Temperature,25.0,C,- -,,,Comments,fig2 nan nan extraction:nan,,,,
