exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2754,TODGA,0.0206683 M,HNO3,2.9 M,n-Dodecane,Ce, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,16.0223,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2755,TODGA,0.0103712 M,HNO3,2.9 M,n-Dodecane,Ce, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,1.9737,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2756,TODGA,0.00508991 M,HNO3,2.9 M,n-Dodecane,Ce, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,0.145,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2757,TODGA,0.00200374 M,HNO3,2.9 M,n-Dodecane,Ce, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,0.0053,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3619,TEHDGA,0.2 M,HNO3,4 M,n-Dodecane,Ce, ,1.42755 mM,isodecyl,2.12 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Ce, isodecyl, n-Dodecane",,n-Dodecane,,doi.org/10.1299/jsmeicone.2007.15._ICONE1510_87,Aurora Clark,2024-12-16 21:53:03,Distribution Ratio,46.0,-,Temperature,25.0,C,- -,,,Comments,table1 raffinate nan extraction:nan,,,,
3625,TODGA,0.02 M,HNO3,1.003 M,octane,Ce, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:03,Distribution Ratio,0.112345524903247,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3639,TODGA,0.02 M,HNO3,4.03408 M,octane,Ce, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,36.0604169267258,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3640,TODGA,0.02 M,HNO3,3.0196 M,octane,Ce, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,9.99625514916987,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3641,TODGA,0.02 M,HNO3,2.00387 M,octane,Ce, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,1.68518287354885,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3643,TODGA,0.02 M,HNO3,5.04644 M,octane,Ce, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,38.3048308575708,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3645,TODGA,0.080226 M,HNO3,3 M,n-Hexane,Ce,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Hexane",,n-Hexane,,DOI 10.1007/s10967-010-0641-2,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,19.779896,-,Temperature,25.0,C,- -,60.0 min,,Comments,fig6 nan 0.0 extraction:nan,,,,
3646,TODGA,0.1 M,HNO3,1.989 M,n-Hexane,Ce,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Hexane",,n-Hexane,,DOI 10.1007/s10967-010-0641-2,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,23.1302,-,Temperature,25.0,C,- -,60.0 min,,Comments,fig4 fixed 3M HNO3NaNO3 0.0 extraction:nan,,,,
3647,TODGA,0.1 M,HNO3,3 M,n-Hexane,Ce,III ,0.053 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Ce, n-Hexane",,n-Hexane,,DOI 10.1007/s10967-010-0641-2,Aurora Clark,2024-12-16 21:53:06,Distribution Ratio,25.5,-,Temperature,25.0,C,- -,60.0 min,,Comments,fig5 nan 0.0 extraction:nan,,,,
