exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2723,TODGA,0.00528349 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:47,Distribution Ratio,15.9806,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2735,TODGA,0.00392221 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:47,Distribution Ratio,2.1347,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2750,TODGA,0.00199386 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,0.1784,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2782,TODGA,0.00100388 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:50,Distribution Ratio,0.0063,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3292,TEHDGA,0.1 M,HNO3,1.001 M,n-Dodecane,Dy, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Dy, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,87.8301886792453,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3294,TEHDGA,0.1 M,HNO3,6.9885 M,n-Dodecane,Dy, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Dy, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,95.8490566037736,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3295,TEHDGA,0.1 M,HNO3,4.9864 M,n-Dodecane,Dy, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Dy, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,96.6981132075472,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3297,TEHDGA,0.1 M,HNO3,0.4943 M,n-Dodecane,Dy, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Dy, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,83.8679245283019,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3298,TEHDGA,0.1 M,HNO3,0.0813 M,n-Dodecane,Dy, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Dy, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,72.8301886792453,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3308,TEHDGA,0.1 M,HNO3,1.9958 M,n-Dodecane,Dy, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Dy, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:36,Distribution Ratio,94.7169811320755,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
