exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
383,TODGA,0.1 M,HNO3,0.1005 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.0018 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader3 nan extraction:graphreader3,,,,
384,TODGA,0.1 M,HNO3,0.4983 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.0101 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader3 nan extraction:graphreader3,,,,
385,TODGA,0.1 M,HNO3,0.9931 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.0221 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader3 nan extraction:graphreader3,,,,
386,TODGA,0.1 M,HNO3,2.0008 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.0533 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader3 nan extraction:graphreader3,,,,
387,TODGA,0.1 M,HNO3,6.9537 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.2249 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader2 nan extraction:graphreader2,,,,
388,TODGA,0.1 M,HNO3,6.9391 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.2244 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader3 nan extraction:graphreader3,,,,
389,TODGA,0.1 M,HNO3,7.1562 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.2286 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader2 nan extraction:graphreader2,,,,
390,TODGA,0.1 M,HNO3,7.1476 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.2347 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader2 nan extraction:graphreader2,,,,
391,TODGA,0.1 M,HNO3,2.0062 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.0553 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader2 nan extraction:graphreader2,,,,
392,TODGA,0.1 M,HNO3,2.9683 M,kerosene,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, kerosene",0.0971 M,kerosene,,doi: 10.1016/j.proche.2012.10.026,Aurora Clark,2024-12-16 21:35:15,,,,Temperature,25.0,C,- -,,,Comments,fig1 graphreader2 nan extraction:graphreader2,,,,
