exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2168,TODGA,0.1 M,HNO3,0.5 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,7.55,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2169,TODGA,0.1 M,HNO3,0.1 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,0.14,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2179,TODGA,0.1 M,HNO3,1 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,126.54,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2181,TODGA,0.1 M,HNO3,2 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,234.38,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2182,TEHDGA,0.1 M,HNO3,0.5 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,0.08,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2183,TEHDGA,0.1 M,HNO3,0.1 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,0.01,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2184,TEHDGA,0.1 M,HNO3,3 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,107.5,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2185,TEHDGA,0.1 M,HNO3,2 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,23.02,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2186,TEHDGA,0.1 M,HNO3,0.99 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,0.75,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2253,TEHDGA,0.05 M,HNO3,1.44525 M,n-Dodecane,Eu, ,3 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/07366299.2018.1447261,Aurora Clark,2024-12-16 21:51:10,Distribution Ratio,0.31,-,Temperature,25.0,C,- -,60.0 min,,Comments,fig1 nan nan extraction:nan,,,,
