exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
4546,TEHDGA,0.2 M,Hcl,1.88654 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:24,Distribution Ratio,21.4634146341463,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
4547,TEHDGA,0.2 M,Hcl,0.949819 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:24,Distribution Ratio,2.43902439024389,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
4548,TEHDGA,0.2 M,Hcl,0.466271 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:24,Distribution Ratio,0.487804878048777,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
4549,TEHDGA,0.2 M,Hcl,1.42427 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:24,Distribution Ratio,9.02439024390244,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
4550,TEHDGA,1.2 M,Hcl,0.95 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:24,Distribution Ratio,0.15,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan nan extraction:nan,,,,
4551,TEHDGA,3.48 M,Hcl,0.95 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:25,Distribution Ratio,0.25,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan nan extraction:nan,,,,
4552,TEHDGA,2.13 M,Hcl,0.95 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:25,Distribution Ratio,0.2,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan nan extraction:nan,,,,
4553,TEHDGA,0.51 M,Hcl,0.95 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:25,Distribution Ratio,0.1,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan nan extraction:nan,,,,
4554,TEHDGA,5.81 M,Hcl,0.95 M,n-Dodecane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-Dodecane",,n-Dodecane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:25,Distribution Ratio,0.3,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig6 nan nan extraction:nan,,,,
4581,TEHDGA,0.2 M,Hcl,1.88585 M,n-octane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-octane",,n-octane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:26,Distribution Ratio,18.4146341463415,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
4582,TEHDGA,0.2 M,Hcl,0.956493 M,n-octane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-octane",,n-octane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:26,Distribution Ratio,2.07317073170731,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
4583,TEHDGA,0.2 M,Hcl,0.469677 M,n-octane,Fe, ,5 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"Hcl, TEHDGA, Fe, n-octane",,n-octane,,dx.doi.org/10.1016/j.hydromet.2016.04.010,Aurora Clark,2024-12-16 21:54:26,Distribution Ratio,0.609756097560975,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 nan nan extraction:nan,,,,
