exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2786,TODGA,0.0201376 M,HNO3,2.9 M,n-Dodecane,Gd, ,0.64 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Gd, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:50,Distribution Ratio,263.7909,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2787,TODGA,0.0107347 M,HNO3,2.9 M,n-Dodecane,Gd, ,0.64 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Gd, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:50,Distribution Ratio,119.8782,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2789,TODGA,0.00210232 M,HNO3,2.9 M,n-Dodecane,Gd, ,0.64 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Gd, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:51,Distribution Ratio,0.1903,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2790,TODGA,0.00554882 M,HNO3,2.9 M,n-Dodecane,Gd, ,0.64 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Gd, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:51,Distribution Ratio,6.019,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2799,TODGA,0.0010069 M,HNO3,2.9 M,n-Dodecane,Gd, ,0.64 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Gd, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:51,Distribution Ratio,0.0109,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3394,DMDODGA,0.024 M,HNO3,1 M,kerosene,Gd, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Gd, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:42,Distribution Ratio,7.53690398089854,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3395,DMDODGA,0.024 M,HNO3,1.99091 M,kerosene,Gd, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Gd, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:42,Distribution Ratio,47.3629338502,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3396,DMDODGA,0.024 M,HNO3,2.98182 M,kerosene,Gd, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Gd, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:42,Distribution Ratio,76.9068302856889,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3397,DMDODGA,0.024 M,HNO3,3.98182 M,kerosene,Gd, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Gd, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:42,Distribution Ratio,96.0408821250538,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3398,DMDODGA,0.024 M,HNO3,4.97273 M,kerosene,Gd, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Gd, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:42,Distribution Ratio,72.3850906817326,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
