exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1175,TODGA,0.2 M,HNO3,2.95559 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.660107 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1176,TODGA,0.2 M,HNO3,1.98195 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.429206 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1177,TODGA,0.2 M,HNO3,0.997798 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.159649 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1178,TODGA,0.2 M,HNO3,0.494675 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.0488712 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1179,TODGA,0.1 M,HNO3,0.5 M,n-Dodecane,,,,DHOA,0.5 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.0206136 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1180,TODGA,0.1 M,HNO3,1 M,n-Dodecane,,,,DHOA,0.5 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.0662932 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1181,TODGA,0.1 M,HNO3,2 M,n-Dodecane,,,,DHOA,0.5 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.193315 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1182,TODGA,0.1 M,HNO3,3 M,n-Dodecane,,,,DHOA,0.5 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.316637 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1183,TODGA,0.1 M,HNO3,0.1 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.00310078 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1184,TODGA,0.1 M,HNO3,0.203274 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.00781821 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1185,TODGA,0.1 M,HNO3,0.503524 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.0398739 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1186,TODGA,0.1 M,HNO3,1.0117 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.146259 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1187,TODGA,0.1 M,HNO3,2.00923 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.362321 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1188,TODGA,0.1 M,HNO3,3.05386 M,n-Dodecane,,,,DHOA,1 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.585096 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1189,TODGA,0.1 M,HNO3,0.199175 M,n-Dodecane,,,,DHOA,0.2 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.0013202 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1190,TODGA,0.1 M,HNO3,0.501971 M,n-Dodecane,,,,DHOA,0.2 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.00798679 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1191,TODGA,0.1 M,HNO3,0.99439 M,n-Dodecane,,,,DHOA,0.2 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.0482797 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:03,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
1192,TODGA,0.1 M,HNO3,1.9928 M,n-Dodecane,,,,DHOA,0.2 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DHOA, n-Dodecane",0.108068 M,n-Dodecane,,/10.1081/SEI-120016073,Aurora Clark,2024-12-16 21:36:04,,,,Temperature,20.0,C,- -,,,Comments,fig7 nan nan extraction:nan,,,,
