exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1303,TBP,1.83731 M,HNO3,4 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1304,TBP,1.83069 M,HNO3,8 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1305,TBP,1.10039 M,HNO3,8 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1306,TBP,0.734427 M,HNO3,8 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1307,TBP,0.367216 M,HNO3,8 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1308,TBP,0.183278 M,HNO3,8 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1309,TBP,1.46355 M,HNO3,4 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1310,TBP,0.731781 M,HNO3,4 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1311,TBP,1.10437 M,HNO3,4 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
1312,TBP,0.367216 M,HNO3,4 M,paraffin,,,,ndecanol,2.09 M,,,-,-,"HNO3, TBP, ndecanol, paraffin",,paraffin,,DOI: 10.1080/01496395.2014.959133,Aurora Clark,2024-12-16 21:36:11,,,,Temperature,30.0,C,- -,,,Comments,fig2 paraffin is not ndodecane nan extraction:nan,,,,
