exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2656,TODGA,0.002 M,HNO3,3 M,n-Dodecane,La, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,0.0032,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2657,TODGA,0.005 M,HNO3,3 M,n-Dodecane,La, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,0.0565,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2658,TODGA,0.0103 M,HNO3,3 M,n-Dodecane,La, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,0.5454,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2659,TODGA,0.0198 M,HNO3,3 M,n-Dodecane,La, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,4.0547,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2758,TODGA,0.0205761 M,HNO3,2.9 M,n-Dodecane,La, ,0.72 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,4.0028,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2759,TODGA,0.0101554 M,HNO3,2.9 M,n-Dodecane,La, ,0.72 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,0.5497,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2760,TODGA,0.00503818 M,HNO3,2.9 M,n-Dodecane,La, ,0.72 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,0.056,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2761,TODGA,0.00200237 M,HNO3,2.9 M,n-Dodecane,La, ,0.72 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,0.0033,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2931,TODGA,0.0199 M,HNO3,2.9 M,n-Dodecane,La,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:03,Distribution Ratio,25.9643,-,Temperature,25.0,C,- -,32.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2932,TODGA,0.0101 M,HNO3,2.9 M,n-Dodecane,La,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:03,Distribution Ratio,5.0584,-,Temperature,25.0,C,- -,31.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2933,TODGA,0.005 M,HNO3,2.9 M,n-Dodecane,La,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:03,Distribution Ratio,0.2035,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2934,TODGA,0.0021 M,HNO3,2.9 M,n-Dodecane,La,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:03,Distribution Ratio,0.0135,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2935,TODGA,0.002 M,HNO3,2.9 M,n-Dodecane,La,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, La, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:03,Distribution Ratio,0.0082,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3411,DMDODGA,0.024 M,HNO3,2.99091 M,kerosene,La, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, La, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:43,Distribution Ratio,0.868153441558492,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3412,DMDODGA,0.024 M,HNO3,1.99091 M,kerosene,La, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, La, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:43,Distribution Ratio,0.641235479557692,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3413,DMDODGA,0.024 M,HNO3,3.97273 M,kerosene,La, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, La, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:43,Distribution Ratio,0.833782223471789,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3414,DMDODGA,0.024 M,HNO3,4.97273 M,kerosene,La, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, La, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:43,Distribution Ratio,0.81711033154572,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
3417,DMDODGA,0.024 M,HNO3,5.95455 M,kerosene,La, ,3 mM,1-octanol,2.537 M,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, La, 1-octanol, kerosene",,kerosene,,doi.org/10.1007/s10967-020-07242-1,Aurora Clark,2024-12-16 21:52:43,Distribution Ratio,0.769068302856888,-,Temperature,25.0,C,- -,120.0 min,,Comments,fig2 raffinate nan extraction:nan,,,,
