exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1483,TBDGA,0.1 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.008 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:25,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1484,TBDGA,0.15 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.011 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:25,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1485,TBDGA,0.2 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.016 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:25,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1486,TBDGA,0.251 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.019 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:26,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1487,TBDGA,0.301 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.024 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:26,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2608,TODGA,0.001 M,HNO3,3 M,n-Dodecane,Lu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Lu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:38,Distribution Ratio,0.1794,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2653,TODGA,0.002 M,HNO3,3 M,n-Dodecane,Lu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Lu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,2.988,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2654,TODGA,0.0032 M,HNO3,3 M,n-Dodecane,Lu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Lu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,19.4882,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2655,TODGA,0.0051 M,HNO3,3 M,n-Dodecane,Lu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Lu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,141.7474,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2706,TODGA,0.00556396 M,HNO3,2.9 M,n-Dodecane,Lu, ,0.57 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Lu, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:46,Distribution Ratio,93.3383,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
