exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
84,TEHDGA,0.2 M,HNO3,1 M,n-Dodecane,Nd, ,41.5968 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Nd, n-Dodecane",,n-Dodecane,,DOI: 10.1039/c8nj01074a,Aurora Clark,2024-12-16 21:34:44,,,,Temperature,25.0,C,- -,60.0 min,,Comments,report in section.. nan 0.0 extraction:nan,,,,
1294,TEHDGA,0.2 M,HNO3,0.07 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.0102774 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:09,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1295,TEHDGA,0.2 M,HNO3,0.5 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.0106447 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1296,TEHDGA,0.2 M,HNO3,0.96 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.0348212 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1297,TEHDGA,0.2 M,HNO3,3.12 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.22697 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1298,TEHDGA,0.2 M,HNO3,4.08 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.339933 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1299,TEHDGA,0.2 M,HNO3,5.06 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.452918 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1300,TEHDGA,0.2 M,HNO3,5.87 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.552166 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1301,TEHDGA,0.2 M,HNO3,8.03 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.7647 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
1302,TEHDGA,0.2 M,HNO3,2.02 M,n-Dodecane,,,,ndecanol,1 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, ndecanol, n-Dodecane",0.110487 M,n-Dodecane,,10.1080/07366290903565885,Aurora Clark,2024-12-16 21:36:10,,,,Temperature,29.85000000000002,C,- -,120.0 min,,Comments,fig1 nan nan extraction:nan,,,,
