exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
5240,DEHiBA,1.5 M,HNO3,0.1 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,0.0136674259681033,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5241,DEHiBA,1.5 M,HNO3,1 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,0.560364464692476,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5242,DEHiBA,1.5 M,HNO3,2 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,2.18678815489749,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5243,DEHiBA,1.5 M,HNO3,3 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,5.09794988610478,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5244,DEHiBA,1.5 M,HNO3,4 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,8.09111617312072,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5245,DEHiBA,1.5 M,HNO3,5 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,9.55353075170843,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5246,DEHiBA,1.5 M,HNO3,6 M,n-Dodecane,Np,VI ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,9.29384965831435,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5247,DEHiBA,1.5 M,HNO3,0.1 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,0.000779220779220823,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5248,DEHiBA,1.5 M,HNO3,1 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:43,Distribution Ratio,0.00272727272727274,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5249,DEHiBA,1.5 M,HNO3,2 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:44,Distribution Ratio,0.0377922077922077,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5250,DEHiBA,1.5 M,HNO3,3 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:44,Distribution Ratio,0.0755844155844155,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5251,DEHiBA,1.5 M,HNO3,4 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:44,Distribution Ratio,0.115714285714285,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5252,DEHiBA,1.5 M,HNO3,5 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:44,Distribution Ratio,0.205714285714285,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
5253,DEHiBA,1.5 M,HNO3,6 M,n-Dodecane,Np,IV ,5.2 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-,"HNO3, DEHiBA, Np, Nitrate, n-Dodecane",,n-Dodecane,,"https://doi.org/10.1021/acssuschemeng.4c06166x, https://doi.org/10.1080/07366299.2023.2215833",Logan Augustine,2024-12-19 17:05:44,Distribution Ratio,0.329610389610389,-,Temperature,25.0,C,15.0 min,,,,,Volume Ratio,1.0,,
