exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1498,TODGA,0.5 M,HNO3,0.4921 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.0225 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1499,TODGA,0.5 M,HNO3,0.6768 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.0408 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1500,TODGA,0.5 M,HNO3,0.9973 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.0814 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1501,TODGA,0.5 M,HNO3,1.4854 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.1625 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1502,TODGA,0.5 M,HNO3,1.9684 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.2512 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1503,TODGA,0.5 M,HNO3,4.8818 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.6678 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1504,TODGA,0.5 M,HNO3,6.9685 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.8897 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1505,TODGA,0.5 M,HNO3,0.3019 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.0094 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1506,TODGA,0.3 M,HNO3,6.9685 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.5574 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
1507,TODGA,0.3 M,HNO3,2.9162 M,DIPB,,,,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, DIPB",0.2485 M,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:36:27,,,,Temperature,20.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
