exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2916,TODGA,0.0101 M,HNO3,2.9 M,n-Dodecane,Pd,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:02,Distribution Ratio,0.0033,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2917,TODGA,0.016 M,HNO3,2.9 M,n-Dodecane,Pd,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:02,Distribution Ratio,0.0083,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2918,TODGA,0.0224 M,HNO3,2.9 M,n-Dodecane,Pd,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:02,Distribution Ratio,0.0224,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2919,TODGA,0.0505 M,HNO3,2.9 M,n-Dodecane,Pd,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:02,Distribution Ratio,0.1404,-,Temperature,25.0,C,- -,31.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2942,TODGA,0.0971 M,HNO3,2.9 M,n-Dodecane,Pd,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.1080/18811248.2007.9711301,Aurora Clark,2024-12-16 21:52:04,Distribution Ratio,0.3992,-,Temperature,25.0,C,- -,32.0 min,,Comments,Fig4 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
3127,TODGA,0.0194 M,HNO3,0.2 M,n-Dodecane,Pd,II , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:17,Distribution Ratio,0.0798,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2d nan nan extraction:nan,,,,
3128,TODGA,0.0273 M,HNO3,0.2 M,n-Dodecane,Pd,II , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:17,Distribution Ratio,0.1481,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2d nan nan extraction:nan,,,,
3129,TODGA,0.0536 M,HNO3,0.2 M,n-Dodecane,Pd,II , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:17,Distribution Ratio,0.5248,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2d nan nan extraction:nan,,,,
3130,TODGA,0.0958 M,HNO3,0.2 M,n-Dodecane,Pd,II , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:17,Distribution Ratio,1.1279,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2d nan nan extraction:nan,,,,
3131,TODGA,0.1294 M,HNO3,0.2 M,n-Dodecane,Pd,II , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pd, n-Dodecane",,n-Dodecane,,https://doi.org/10.15261/serdj.26.21,Aurora Clark,2024-12-16 21:52:17,Distribution Ratio,2.0019,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2d nan nan extraction:nan,,,,
