exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2777,TODGA,0.00200752 M,HNO3,2.9 M,n-Dodecane,Pr, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:50,Distribution Ratio,0.0107,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2791,TODGA,0.01048 M,HNO3,2.9 M,n-Dodecane,Pr, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:51,Distribution Ratio,4.4628,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2792,TODGA,0.020195 M,HNO3,2.9 M,n-Dodecane,Pr, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:51,Distribution Ratio,46.2758,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2793,TODGA,0.0050329 M,HNO3,2.9 M,n-Dodecane,Pr, ,0.71 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:51,Distribution Ratio,0.2303,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3626,TODGA,0.02 M,HNO3,2.0166 M,octane,Pr, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:03,Distribution Ratio,4.60366995381349,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3627,TODGA,0.02 M,HNO3,3.02759 M,octane,Pr, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:04,Distribution Ratio,24.3764823367869,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3628,TODGA,0.02 M,HNO3,1.003 M,octane,Pr, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:04,Distribution Ratio,0.112345524903247,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3633,TODGA,0.02 M,HNO3,5.05711 M,octane,Pr, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:04,Distribution Ratio,57.515915616028,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
3644,TODGA,0.02 M,HNO3,4.04069 M,octane,Pr, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, octane",,octane,,doi.org/10.1016/j.hydromet.2018.07.005,Aurora Clark,2024-12-16 21:53:05,Distribution Ratio,47.9690425664711,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig2 leach of metals nan extraction:nan,,,,
4202,TODGA,0.02 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,57.3,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
4203,TODGA,0.03 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,146.03,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
4204,TODGA,0.06 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,610.6,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
4206,TODGA,0.05 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,387.83,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
4211,TODGA,0.02 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,isododecanol,1.36 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isododecanol, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,6.05,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
4212,TODGA,0.07 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,isododecanol,1.36 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isododecanol, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,151.51,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
4213,TODGA,0.1 M,HNO3,3 M,isoparL,Pr, ,0.24 mM,isododecanol,1.36 M,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pr, isododecanol, isoparL",,isoparL,,DOI:10.1021/jacs.7b07318,Aurora Clark,2024-12-16 21:53:45,Distribution Ratio,360.49,-,Temperature,25.0,C,- -,60.0 min,,Comments,figure2 nan nan extraction:nan,,,,
