exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2297,TODGA,0.1 M,HNO3,1 M,n-Dodecane,Pu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,10.1524/ract.2006.94.6.307,Aurora Clark,2024-12-16 21:51:13,Distribution Ratio,17.64,-,Temperature,45.0,C,- -,45.0 min,,Comments,table1 nan 0.0 extraction:nan,,,,
2298,TODGA,0.1 M,HNO3,1 M,n-Dodecane,Pu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,10.1524/ract.2006.94.6.307,Aurora Clark,2024-12-16 21:51:13,Distribution Ratio,25.02,-,Temperature,35.0,C,- -,45.0 min,,Comments,table1 nan 0.0 extraction:nan,,,,
2299,TODGA,0.1 M,HNO3,1 M,n-Dodecane,Pu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,10.1524/ract.2006.94.6.307,Aurora Clark,2024-12-16 21:51:13,Distribution Ratio,58.11,-,Temperature,25.0,C,- -,45.0 min,,Comments,table1 nan 0.0 extraction:nan,,,,
2300,TODGA,0.1 M,HNO3,1 M,n-Dodecane,Pu, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,10.1524/ract.2006.94.6.307,Aurora Clark,2024-12-16 21:51:13,Distribution Ratio,75.69,-,Temperature,15.0,C,- -,45.0 min,,Comments,table1 nan 0.0 extraction:nan,,,,
2634,TODGA,0.02 M,HNO3,3 M,n-Dodecane,Pu,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:41,Distribution Ratio,160.3719,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig14 IV 0.0 extraction:nan,,,,
2635,TODGA,0.01 M,HNO3,3 M,n-Dodecane,Pu,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:41,Distribution Ratio,20.2171,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig14 IV 0.0 extraction:nan,,,,
2636,TODGA,0.0048 M,HNO3,3 M,n-Dodecane,Pu,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:41,Distribution Ratio,2.087,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig14 IV 0.0 extraction:nan,,,,
2637,TODGA,0.002 M,HNO3,3 M,n-Dodecane,Pu,IV , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:41,Distribution Ratio,0.1582,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig14 IV 0.0 extraction:nan,,,,
2727,TODGA,0.00536974 M,HNO3,2.9 M,n-Dodecane,Pu, ,0.41 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:47,Distribution Ratio,1.9231,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
2733,TODGA,0.0210073 M,HNO3,2.9 M,n-Dodecane,Pu, ,0.41 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Pu, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:47,Distribution Ratio,152.8147,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (IV) – assuming 100ppm 0.0 extraction:nan,,,,
