exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2762,TODGA,0.0191671 M,HNO3,2.9 M,n-Dodecane,Sm, ,0.67 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Sm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,230.2527,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2763,TODGA,0.0107566 M,HNO3,2.9 M,n-Dodecane,Sm, ,0.67 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Sm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,48.8626,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2764,TODGA,0.00529802 M,HNO3,2.9 M,n-Dodecane,Sm, ,0.67 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Sm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,1.4634,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2765,TODGA,0.00203044 M,HNO3,2.9 M,n-Dodecane,Sm, ,0.67 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Sm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,0.0476,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2766,TODGA,0.00100134 M,HNO3,2.9 M,n-Dodecane,Sm, ,0.67 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Sm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:49,Distribution Ratio,0.002,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
3291,TEHDGA,0.1 M,HNO3,6.99542 M,n-Dodecane,Sm, ,2 mM,1-octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Sm, 1-octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,92.2228212039533,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3293,TEHDGA,0.1 M,HNO3,5.02875 M,n-Dodecane,Sm, ,2 mM,1-octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Sm, 1-octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,93.5561545372866,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3296,TEHDGA,0.1 M,HNO3,0.488 M,n-Dodecane,Sm, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Sm, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,79.9056603773585,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3299,TEHDGA,0.1 M,HNO3,6.9885 M,n-Dodecane,Sm, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Sm, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,89.811320754717,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
3300,TEHDGA,0.1 M,HNO3,4.9927 M,n-Dodecane,Sm, ,2 mM,octanol,1.58 M,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Sm, octanol, n-Dodecane",,n-Dodecane,,10.1016/S1002-0721(14)60437-3,Aurora Clark,2024-12-16 21:52:35,Distribution Ratio,91.6981132075472,-,Temperature,25.0,C,- -,25.0 min,,Comments,fig3 nan nan extraction:nan,,,,
