exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
620,TBP,1.1 M,HNO3,0.0953 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.0159 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:30,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader3,,,,
621,TBP,1.1 M,HNO3,5.359 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.9077 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:30,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreaderM,,,,
622,TBP,1.1 M,HNO3,3.5177 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.6313 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreaderM,,,,
623,TBP,1.1 M,HNO3,1.7703 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.2282 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreaderM,,,,
624,TBP,1.1 M,HNO3,0.9335 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.1055 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreaderM,,,,
625,TBP,1.1 M,HNO3,0.1017 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.0159 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreaderM,,,,
626,TBP,1.1 M,HNO3,0.0129 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.003 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreaderM,,,,
627,TBP,1.1 M,HNO3,5.347 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.9112 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader3,,,,
628,TBP,1.1 M,HNO3,3.5078 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.6338 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader3,,,,
629,TBP,1.1 M,HNO3,1.7647 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.2284 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader3,,,,
630,TBP,1.1 M,HNO3,0.9374 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.1056 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader3,,,,
631,TBP,1.1 M,HNO3,5.3663 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.911 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader2,,,,
632,TBP,1.1 M,HNO3,3.5187 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.6333 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader2,,,,
633,TBP,1.1 M,HNO3,1.7676 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.2278 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader2,,,,
634,TBP,1.1 M,HNO3,0.9365 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.1052 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader2,,,,
635,TBP,1.1 M,HNO3,0.0906 M,n-Dodecane,,,,,,,,-,-,"HNO3, TBP, n-Dodecane",0.0158 M,n-Dodecane,,dx.doi.org/10.1016/j.ica.2017.07.048,Aurora Clark,2024-12-16 21:35:31,,,,Temperature,30.0,C,- -,60.0 min,,Comments,fig8 logy nan extraction:graphreader2,,,,
