exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1247,THDGA,0.5 M,HNO3,3 M,kerosene,,,,1-octanol,1.9 M,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, 1-octanol, kerosene",0.299 M,kerosene,,doi.org/10.1016/j.ica.2020.119928,Aurora Clark,2024-12-16 21:36:07,,,,Temperature,25.0,C,- -,60.0 min,,Comments,fig2 calculated see bellow nan extraction:nan,,,,
1248,THDGA,0.37 M,HNO3,3 M,kerosene,,,,1-octanol,1.9 M,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, 1-octanol, kerosene",0.226 M,kerosene,,doi.org/10.1016/j.ica.2020.119928,Aurora Clark,2024-12-16 21:36:07,,,,Temperature,25.0,C,- -,60.0 min,,Comments,fig2 calculated see bellow nan extraction:nan,,,,
1249,THDGA,0.26 M,HNO3,3 M,kerosene,,,,1-octanol,1.9 M,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, 1-octanol, kerosene",0.166 M,kerosene,,doi.org/10.1016/j.ica.2020.119928,Aurora Clark,2024-12-16 21:36:07,,,,Temperature,25.0,C,- -,60.0 min,,Comments,fig2 calculated see bellow nan extraction:nan,,,,
1250,THDGA,0.18 M,HNO3,3 M,kerosene,,,,1-octanol,1.9 M,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, 1-octanol, kerosene",0.11 M,kerosene,,doi.org/10.1016/j.ica.2020.119928,Aurora Clark,2024-12-16 21:36:07,,,,Temperature,25.0,C,- -,60.0 min,,Comments,fig2 calculated see bellow nan extraction:nan,,,,
1251,THDGA,0.12 M,HNO3,3 M,kerosene,,,,1-octanol,1.9 M,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, 1-octanol, kerosene",0.074 M,kerosene,,doi.org/10.1016/j.ica.2020.119928,Aurora Clark,2024-12-16 21:36:07,,,,Temperature,25.0,C,- -,60.0 min,,Comments,fig2 calculated see bellow nan extraction:nan,,,,
1252,THDGA,0.07 M,HNO3,3 M,kerosene,,,,1-octanol,1.9 M,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, 1-octanol, kerosene",0.047 M,kerosene,,doi.org/10.1016/j.ica.2020.119928,Aurora Clark,2024-12-16 21:36:07,,,,Temperature,25.0,C,- -,60.0 min,,Comments,fig2 calculated see bellow nan extraction:nan,,,,
2209,THDGA,0.04 M,HNO3,1 M,n-Dodecane,Am, ,0.0004 mM,,,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, Am, n-Dodecane",,n-Dodecane,,10.1080/07366299.2015.1087209,Aurora Clark,2024-12-16 21:51:06,Distribution Ratio,2.06,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 3 nan nan extraction:nan,,,,
2210,THDGA,0.02 M,HNO3,1 M,n-Dodecane,Am, ,0.0004 mM,,,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, Am, n-Dodecane",,n-Dodecane,,10.1080/07366299.2015.1087209,Aurora Clark,2024-12-16 21:51:06,Distribution Ratio,0.12,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 3 nan nan extraction:nan,,,,
2211,THDGA,0.01 M,HNO3,1 M,n-Dodecane,Am, ,0.0004 mM,,,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, Am, n-Dodecane",,n-Dodecane,,10.1080/07366299.2015.1087209,Aurora Clark,2024-12-16 21:51:06,Distribution Ratio,0.01,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 3 nan nan extraction:nan,,,,
2226,THDGA,0.1 M,HNO3,1 M,n-Dodecane,U, ,0.0004 mM,,,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, U, n-Dodecane",,n-Dodecane,,10.1080/07366299.2015.1087209,Aurora Clark,2024-12-16 21:51:08,Distribution Ratio,0.47,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 6 nan nan extraction:nan,,,,
2227,THDGA,0.04 M,HNO3,1 M,n-Dodecane,U, ,0.0004 mM,,,,,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-,"HNO3, THDGA, U, n-Dodecane",,n-Dodecane,,10.1080/07366299.2015.1087209,Aurora Clark,2024-12-16 21:51:08,Distribution Ratio,0.04,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 6 nan nan extraction:nan,,,,
