exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
1483,TBDGA,0.1 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.008 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:25,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1484,TBDGA,0.15 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.011 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:25,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1485,TBDGA,0.2 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.016 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:25,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1486,TBDGA,0.251 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.019 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:26,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
1487,TBDGA,0.301 M,HNO3,0.5 M,toluene,,,,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"HNO3, TBDGA, toluene",0.024 M,toluene,,DOI 10.1007/s41365-017-0229-4,Aurora Clark,2024-12-16 21:36:26,,,,Temperature,25.0,C,- -,10.0 min,,Comments,fig2 nan nan extraction:nan,,,,
2168,TODGA,0.1 M,HNO3,0.5 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,7.55,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2169,TODGA,0.1 M,HNO3,0.1 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,0.14,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2179,TODGA,0.1 M,HNO3,1 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:04,Distribution Ratio,126.54,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2181,TODGA,0.1 M,HNO3,2 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,234.38,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
2182,TEHDGA,0.1 M,HNO3,0.5 M,n-Dodecane,Eu, ,1 mM,,,,,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-,"HNO3, TEHDGA, Eu, n-Dodecane",,n-Dodecane,,10.1080/01496395.2015.1085874,Aurora Clark,2024-12-16 21:51:05,Distribution Ratio,0.08,-,Temperature,25.0,C,- -,60.0 min,,Comments,Fig 2 nan nan extraction:nan,,,,
