exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2647,TODGA,0.001 M,HNO3,3 M,n-Dodecane,Y, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,0.1442,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2648,TODGA,0.002 M,HNO3,3 M,n-Dodecane,Y, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,0.3933,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2649,TODGA,0.005 M,HNO3,3 M,n-Dodecane,Y, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,1.7705,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2651,TODGA,0.0101 M,HNO3,3 M,n-Dodecane,Y, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:42,Distribution Ratio,14.3614,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2664,TODGA,0.0198 M,HNO3,3 M,n-Dodecane,Y, , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,DOI:10.1080/07366299.2013.800431,Aurora Clark,2024-12-16 21:51:43,Distribution Ratio,48.6968,-,Temperature,25.0,C,- -,30.0 min,,Comments,Fig7 nan 0.0 extraction:nan,,,,
2723,TODGA,0.00528349 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:47,Distribution Ratio,15.9806,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2735,TODGA,0.00392221 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:47,Distribution Ratio,2.1347,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2741,TODGA,0.0206974 M,HNO3,2.9 M,n-Dodecane,Y, ,1.12 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,48.5186,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2742,TODGA,0.00564051 M,HNO3,2.9 M,n-Dodecane,Y, ,1.12 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,1.9513,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2743,TODGA,0.00231765 M,HNO3,2.9 M,n-Dodecane,Y, ,1.12 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,0.3959,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2744,TODGA,0.00115332 M,HNO3,2.9 M,n-Dodecane,Y, ,1.12 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Y, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,0.1586,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2750,TODGA,0.00199386 M,HNO3,2.9 M,n-Dodecane,Dy, ,0.62 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Dy, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:48,Distribution Ratio,0.1784,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
