exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
4110,DMDODGA,0.05 M,HNO3,2.5 M,CHCl3,Yb, ,5 mM,,,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Yb, CHCl3",,CHCl3,,DOI: 10.1080/07366299.2010.480932,Aurora Clark,2024-12-16 21:53:39,Distribution Ratio,47.55,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
4111,DMDODGA,0.05 M,HNO3,2 M,CHCl3,Yb, ,5 mM,,,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Yb, CHCl3",,CHCl3,,DOI: 10.1080/07366299.2010.480932,Aurora Clark,2024-12-16 21:53:39,Distribution Ratio,21.753,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
4112,DMDODGA,0.05 M,HNO3,1.5 M,CHCl3,Yb, ,5 mM,,,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Yb, CHCl3",,CHCl3,,DOI: 10.1080/07366299.2010.480932,Aurora Clark,2024-12-16 21:53:40,Distribution Ratio,9.392,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
4114,DMDODGA,0.05 M,HNO3,1 M,CHCl3,Yb, ,5 mM,,,,,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-,"HNO3, DMDODGA, Yb, CHCl3",,CHCl3,,DOI: 10.1080/07366299.2010.480932,Aurora Clark,2024-12-16 21:53:40,Distribution Ratio,7.098,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig3 nan nan extraction:nan,,,,
4566,TBDGA,0.2 M,Hcl,0.987097 M,n-octane,Yb, ,4 mM,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"Hcl, TBDGA, Yb, n-octane",,n-octane,,doi:10.1016/j.hydromet.2012.04.013,Aurora Clark,2024-12-16 21:54:25,Distribution Ratio,0.450026441036492,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 d nan extraction:nan,,,,
4568,TBDGA,0.2 M,Hcl,2 M,n-octane,Yb, ,4 mM,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"Hcl, TBDGA, Yb, n-octane",,n-octane,,doi:10.1016/j.hydromet.2012.04.013,Aurora Clark,2024-12-16 21:54:25,Distribution Ratio,0.533051295610797,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 d nan extraction:nan,,,,
4569,TBDGA,0.2 M,Hcl,4.0129 M,n-octane,Yb, ,4 mM,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"Hcl, TBDGA, Yb, n-octane",,n-octane,,doi:10.1016/j.hydromet.2012.04.013,Aurora Clark,2024-12-16 21:54:26,Distribution Ratio,6.92755156002117,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 d nan extraction:nan,,,,
4571,TBDGA,0.2 M,Hcl,3.0129 M,n-octane,Yb, ,4 mM,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"Hcl, TBDGA, Yb, n-octane",,n-octane,,doi:10.1016/j.hydromet.2012.04.013,Aurora Clark,2024-12-16 21:54:26,Distribution Ratio,2.5832892649392,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 d nan extraction:nan,,,,
4573,TBDGA,0.2 M,Hcl,5.02581 M,n-octane,Yb, ,4 mM,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"Hcl, TBDGA, Yb, n-octane",,n-octane,,doi:10.1016/j.hydromet.2012.04.013,Aurora Clark,2024-12-16 21:54:26,Distribution Ratio,10.8630354309889,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 d nan extraction:nan,,,,
4604,TBDGA,0.2 M,Hcl,0.987097 M,toluene,Yb, ,4 mM,,,,,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-,"Hcl, TBDGA, Yb, toluene",,toluene,,doi:10.1016/j.hydromet.2012.04.013,Aurora Clark,2024-12-16 21:54:28,Distribution Ratio,0.450026441036492,-,Temperature,25.0,C,- -,30.0 min,,Comments,fig1 d nan extraction:nan,,,,
