SMILES_FOR_ARCHITECTOR,n_metals,n_coord_modes,metals,n_rows
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,4,1,"Ce,Er,Eu,La",5
C1COCCOCCOCCOCCOCCO1,5,1,"Ce,Er,Eu,La,Pr",5
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,1,"Ce,Eu,La,Nd,Pr,Sm",6
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,1,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm",8
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Tb,Tm,Yb",13
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2,1,"Eu,Nd",3
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Tb,Tm,Yb",21
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,1,"Ce,Eu,La,Nd,Pr,Sm",6
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,1,"Dy,Er,Gd,Nd,Sm,Yb",6
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,11,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Tb,Yb",11
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb",13
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,7,1,"Ce,Eu,Gd,La,Nd,Pr,Sm",7
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,12,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Tb,Yb",15
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",20
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",38
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,9,1,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm,Tb",10
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",20
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,7,1,"Dy,Er,Eu,Gd,La,Lu,Nd",9
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",19
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Nd,Pr,Sm,Tb,Tm,Yb",20
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,9,1,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",9
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,1,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",9
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",26
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Yb",11
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,7,1,"Dy,Er,Eu,Gd,La,Lu,Nd",7
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,1,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm",8
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb",12
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb",12
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb",13
