build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,ligtype_override,xyz_exists,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,source_build_id,rescue_route,ligand_family,review_reason
9ce4f4d1c0d5,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O310:2.055;O19:2.172;O167:2.277;O21:2.334;O162:2.336;O307:2.354;O164:2.373;O35:3.399;O305:3.629,3.6285,3.8635,0.235,O310:2.055;O19:2.172;O167:2.277;O21:2.334;O162:2.336;O307:2.354;O164:2.373;O35:3.399;O305:3.629;N31:3.864;O24:3.864;N311:4.178;N152:4.254;N9:4.334;N168:4.357;N25:4.455;N295:5.288;O33:5.714;N39:5.776;O38:6.014;N174:8.966;N182:9.042;N317:9.446;O178:9.474;O176:9.807;O181:10.335;N325:10.493;O321:10.724;O319:11.519;O324:11.765,FAIL_LONG_BOND,3.1996,1.0024,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,9ce4f4d1c0d5,conformer_borderline,valid_template_3dent,fixed_template_conformer_search
f32387e7edd6,,63,Eu,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]","[""S(donor)"", ""O(ether)"", ""S(donor)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,S141:2.780;S78:2.805;S6:2.849;S15:2.896;S69:2.963;O12:3.056;S132:3.087;O138:3.285;O75:3.296,3.2956,3.9353,0.6397,S141:2.780;S78:2.805;S6:2.849;S15:2.896;S69:2.963;O12:3.056;S132:3.087;O138:3.285;O75:3.296;P77:3.935;P140:3.950;P14:4.097;P5:4.120;P131:4.133;P68:4.280,BORDERLINE_LONGISH,3.0975,0.6713,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_f32387e7edd6_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,f32387e7edd6,conformer_borderline,valid_template_3dent,fixed_template_conformer_search
e9fcac340ff5,,63,Eu,3,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,"[0, 3, 6]","[""S(donor)"", ""O(ether)"", ""S(donor)""]",3,9,3,water,water,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5.mol2,,,existing_ok,recovered_from_disk,accepted,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,S117:2.749;S7:2.823;S56:2.931;S111:2.971;S62:2.988;O4:3.102;O114:3.125;S1:3.153;O59:3.286,3.2863,3.9209,0.6346,S117:2.749;S7:2.823;S56:2.931;S111:2.971;S62:2.988;O4:3.102;O114:3.125;S1:3.153;O59:3.286;P6:3.921;P57:4.068;P116:4.078;P112:4.192;P61:4.255;P2:4.419,FAIL_LONG_BOND,3.1152,0.6788,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig3_water_e9fcac340ff5_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,e9fcac340ff5,conformer_borderline,valid_template_3dent,fixed_template_conformer_search
ee1036964dae,,63,Eu,3,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,"[5, 11, 14]","[""S(donor)"", ""O(ether)"", ""S(donor)""]",3,9,3,water,water,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O75:2.813;S132:2.855;O138:2.871;S78:2.913;S69:2.918;S6:2.923;S141:2.938;S15:3.017;O12:3.115,3.1146,3.9141,0.7995,O75:2.813;S132:2.855;O138:2.871;S78:2.913;S69:2.918;S6:2.923;S141:2.938;S15:3.017;O12:3.115;P68:3.914;P77:3.960;P131:4.006;P14:4.092;P5:4.115;P140:4.123,BORDERLINE_LONGISH,2.9693,0.9514,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig3_water_ee1036964dae_attempt02_standard_dup2.xyz,coreCN_max_dist>2.95,ee1036964dae,conformer_borderline,valid_template_3dent,fixed_template_conformer_search
33c10b1775e6,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]","[""O(amide_carbonyl)"", ""N(aromatic)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O157:2.379;O19:2.383;O226:2.410;O277:2.586;O88:2.642;N236:2.847;N98:2.979;N29:3.025;N167:3.659,3.6589,4.593,0.9341,O157:2.379;O19:2.383;O226:2.410;O277:2.586;O88:2.642;N236:2.847;N98:2.979;N29:3.025;N167:3.659;N147:4.593;N216:4.613;N9:4.616;N78:4.816,BORDERLINE_LONGISH,3.0641,1.4996,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,33c10b1775e6,conformer_borderline,valid_template_2dent,fixed_template_conformer_search
8085bc618fe6,,63,Eu,3,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,"[10, 14]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O75:2.282;O139:2.305;O257:2.446;O79:2.602;O15:2.604;O11:2.693;O203:2.762;O143:3.177;O207:3.569,3.5691,4.1456,0.5765,O75:2.282;O139:2.305;O257:2.446;O79:2.602;O15:2.604;O11:2.693;O203:2.762;O143:3.177;O207:3.569;N69:4.146;N133:4.439;N16:4.660;N80:4.691;N5:4.795;N197:4.997;N144:5.419;N208:5.612,FAIL_LONG_BOND,3.2475,0.9613,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6_attempt02_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6_attempt02_standard.xyz,coreCN_max_dist>3.10,8085bc618fe6,conformer_borderline,valid_template_2dent,fixed_template_conformer_search
3df1d7358828,,64,Gd,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]","[""O(ether)"", ""O(ether)"", ""O(ether)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O45:2.302;O250:2.392;O147:2.409;O165:2.421;O267:2.502;O285:2.527;O27:2.575;O10:2.590;O130:3.247,3.2472,3.3923,0.1451,O45:2.302;O250:2.392;O147:2.409;O165:2.421;O267:2.502;O285:2.527;O27:2.575;O10:2.590;O130:3.247;N44:3.392;N164:3.407;N284:3.448;P266:3.593;P146:3.627;P249:3.629;P26:3.731;P9:3.746;P129:4.417,FAIL_LONG_BOND,3.1749,0.1674,data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_3df1d7358828_attempt02_standard_dup2.xyz,coreCN_max_dist>3.10,3df1d7358828,conformer_borderline,valid_template_3dent,fixed_template_conformer_search
dc61383f4cc6,,64,Gd,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 30]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_dc61383f4cc6.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_dc61383f4cc6.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O23:2.325;O318:2.418;O169:2.451;O323:2.534;O172:2.576;O177:2.668;O26:2.863;O31:3.019;O315:3.557,3.5574,4.4511,0.8938,O23:2.325;O318:2.418;O169:2.451;O323:2.534;O172:2.576;O177:2.668;O26:2.863;O31:3.019;O315:3.557;N11:4.451;N157:4.602;N324:4.662;N178:4.807;N32:5.165;N303:5.338,BORDERLINE_LONGISH,2.9629,0.9511,data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_dc61383f4cc6_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_dc61383f4cc6_attempt01_standard_dup2.xyz,double free or corruption (!prev),dc61383f4cc6,conformer_borderline,valid_template_3dent,fixed_template_conformer_search
17f690b1fab1,,64,Gd,3,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,"[10, 14]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_17f690b1fab1.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_17f690b1fab1.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O143:2.399;O11:2.421;O15:2.512;O79:2.675;O75:2.728;O139:2.760;O257:2.787;O207:2.902;O203:3.658,3.6583,4.2146,0.5563,O143:2.399;O11:2.421;O15:2.512;O79:2.675;O75:2.728;O139:2.760;O257:2.787;O207:2.902;O203:3.658;N69:4.215;N144:4.548;N5:4.639;N16:4.737;N80:4.792;N133:4.932;N208:5.166;N197:5.744,FAIL_LONG_BOND,3.1681,1.2024,data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_17f690b1fab1_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Gd/Gd_Z64_ox3_CN9_nlig4_nitrate_17f690b1fab1_attempt01_standard_dup2.xyz,coreCN_max_dist>3.10,17f690b1fab1,conformer_borderline,valid_template_2dent,fixed_template_conformer_search
fb8eb6781614,,60,Nd,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_fb8eb6781614.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_fb8eb6781614.mol2,,,existing_ok,recovered_from_disk,accepted,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,False,,True,FAIL_LONG_BOND,coreCN_max_dist>3.10,O182:2.253;O97:2.399;O341:2.456;O12:2.610;O106:2.691;O21:2.878;O276:2.978;O191:2.984;O267:3.487,3.4867,4.04,0.5533,O182:2.253;O97:2.399;O341:2.456;O12:2.610;O106:2.691;O21:2.878;O276:2.978;O191:2.984;O267:3.487;N9:4.040;N94:4.402;N179:4.474;N107:4.697;N22:4.955;N192:5.057;N277:5.163;N264:5.578,FAIL_LONG_BOND,3.2218,1.2375,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_fb8eb6781614_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_fb8eb6781614_attempt01_standard.xyz,coreCN_max_dist>3.10,fb8eb6781614,conformer_borderline,valid_template_2dent,fixed_template_conformer_search
